method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,20,5,5,1,100,True,0.286,0.254,0.257
lsh_random,20,5,5,5,100,True,0.465,0.272,0.275
lsh_random,20,5,5,10,100,True,0.426,0.317,0.312
lsh_random,20,5,10,1,100,True,0.237,0.121,0.12
lsh_random,20,5,10,5,100,True,0.272,0.124,0.124
lsh_random,20,5,10,10,100,True,0.278,0.179,0.177
lsh_random,20,5,20,1,100,True,0.124,0.102,0.095
lsh_random,20,5,20,5,100,True,0.176,0.071,0.073
lsh_random,20,5,20,10,100,True,0.242,0.137,0.136
lsh_random,20,5,5,1,200,True,0.326,0.262,0.254
lsh_random,20,5,5,5,200,True,0.364,0.317,0.338
lsh_random,20,5,5,10,200,True,0.42,0.341,0.349
lsh_random,20,5,10,1,200,True,0.274,0.193,0.19
lsh_random,20,5,10,5,200,True,0.263,0.204,0.2
lsh_random,20,5,10,10,200,True,0.369,0.215,0.213
lsh_random,20,5,20,1,200,True,0.1,0.073,0.069
lsh_random,20,5,20,5,200,True,0.201,0.081,0.075
lsh_random,20,5,20,10,200,True,0.221,0.13,0.12
lsh_random,20,5,5,1,500,True,0.341,0.359,0.361
lsh_random,20,5,5,5,500,True,0.495,0.345,0.336
lsh_random,20,5,5,10,500,True,0.586,0.449,0.449
lsh_random,20,5,10,1,500,True,0.174,0.131,0.135
lsh_random,20,5,10,5,500,True,0.265,0.216,0.222
lsh_random,20,5,10,10,500,True,0.29,0.19,0.182
lsh_random,20,5,20,1,500,True,0.144,0.127,0.127
lsh_random,20,5,20,5,500,True,0.201,0.175,0.176
lsh_random,20,5,20,10,500,True,0.221,0.184,0.184
lsh_random,20,5,5,1,1000,True,0.366,0.34,0.34
lsh_random,20,5,5,5,1000,True,0.488,0.481,0.464
lsh_random,20,5,5,10,1000,True,0.527,0.413,0.416
lsh_random,20,5,10,1,1000,True,0.238,0.202,0.202
lsh_random,20,5,10,5,1000,True,0.28,0.291,0.289
lsh_random,20,5,10,10,1000,True,0.279,0.234,0.239
lsh_random,20,5,20,1,1000,True,0.094,0.077,0.076
lsh_random,20,5,20,5,1000,True,0.204,0.182,0.181
lsh_random,20,5,20,10,1000,True,0.23,0.215,0.219
