method,model_classes,model_supports,model_planes,model_trained_planes,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,1000,False,5,1,100,True,0.223,0.223,0.223
lsh_random,10,1,1000,False,5,5,100,True,0.222,0.222,0.222
lsh_random,10,1,1000,False,5,10,100,True,0.22,0.22,0.22
lsh_random,10,1,1000,False,10,1,100,True,0.097,0.097,0.097
lsh_random,10,1,1000,False,10,5,100,True,0.105,0.105,0.105
lsh_random,10,1,1000,False,10,10,100,True,0.085,0.085,0.085
lsh_random,10,1,1000,False,20,1,100,True,0.052,0.052,0.052
lsh_random,10,1,1000,False,20,5,100,True,0.028,0.028,0.028
lsh_random,10,1,1000,False,20,10,100,True,0.047,0.047,0.047
lsh_random,10,1,1000,False,5,1,200,True,0.199,0.199,0.199
lsh_random,10,1,1000,False,5,5,200,True,0.216,0.216,0.216
lsh_random,10,1,1000,False,5,10,200,True,0.193,0.193,0.193
lsh_random,10,1,1000,False,10,1,200,True,0.113,0.113,0.113
lsh_random,10,1,1000,False,10,5,200,True,0.077,0.077,0.077
lsh_random,10,1,1000,False,10,10,200,True,0.091,0.091,0.091
lsh_random,10,1,1000,False,20,1,200,True,0.043,0.043,0.043
lsh_random,10,1,1000,False,20,5,200,True,0.048,0.048,0.048
lsh_random,10,1,1000,False,20,10,200,True,0.037,0.037,0.037
lsh_random,10,1,1000,False,5,1,500,True,0.192,0.192,0.192
lsh_random,10,1,1000,False,5,5,500,True,0.217,0.217,0.217
lsh_random,10,1,1000,False,5,10,500,True,0.195,0.195,0.195
lsh_random,10,1,1000,False,10,1,500,True,0.115,0.115,0.115
lsh_random,10,1,1000,False,10,5,500,True,0.101,0.101,0.101
lsh_random,10,1,1000,False,10,10,500,True,0.088,0.088,0.088
lsh_random,10,1,1000,False,20,1,500,True,0.05,0.05,0.05
lsh_random,10,1,1000,False,20,5,500,True,0.053,0.053,0.053
lsh_random,10,1,1000,False,20,10,500,True,0.048,0.048,0.048
lsh_random,10,1,1000,False,5,1,1000,True,0.218,0.218,0.218
lsh_random,10,1,1000,False,5,5,1000,True,0.204,0.204,0.204
lsh_random,10,1,1000,False,5,10,1000,True,0.2,0.2,0.2
lsh_random,10,1,1000,False,10,1,1000,True,0.092,0.092,0.092
lsh_random,10,1,1000,False,10,5,1000,True,0.093,0.093,0.093
lsh_random,10,1,1000,False,10,10,1000,True,0.095,0.095,0.095
lsh_random,10,1,1000,False,20,1,1000,True,0.051,0.051,0.051
lsh_random,10,1,1000,False,20,5,1000,True,0.036,0.036,0.036
lsh_random,10,1,1000,False,20,10,1000,True,0.05,0.05,0.05
lsh_random,10,1,100,True,5,1,100,True,0.199,0.199,0.199
lsh_random,10,1,100,True,5,5,100,True,0.202,0.202,0.202
lsh_random,10,1,100,True,5,10,100,True,0.202,0.202,0.202
lsh_random,10,1,100,True,10,1,100,True,0.093,0.093,0.093
lsh_random,10,1,100,True,10,5,100,True,0.108,0.108,0.108
lsh_random,10,1,100,True,10,10,100,True,0.106,0.106,0.106
lsh_random,10,1,100,True,20,1,100,True,0.047,0.047,0.047
lsh_random,10,1,100,True,20,5,100,True,0.045,0.045,0.045
lsh_random,10,1,100,True,20,10,100,True,0.048,0.048,0.048
lsh_random,10,1,100,True,5,1,200,True,0.197,0.197,0.197
lsh_random,10,1,100,True,5,5,200,True,0.198,0.198,0.198
lsh_random,10,1,100,True,5,10,200,True,0.182,0.182,0.182
lsh_random,10,1,100,True,10,1,200,True,0.106,0.106,0.106
lsh_random,10,1,100,True,10,5,200,True,0.102,0.102,0.102
lsh_random,10,1,100,True,10,10,200,True,0.103,0.103,0.103
lsh_random,10,1,100,True,20,1,200,True,0.06,0.06,0.06
lsh_random,10,1,100,True,20,5,200,True,0.049,0.049,0.049
lsh_random,10,1,100,True,20,10,200,True,0.045,0.045,0.045
lsh_random,10,1,100,True,5,1,500,True,0.214,0.214,0.214
lsh_random,10,1,100,True,5,5,500,True,0.19,0.19,0.19
lsh_random,10,1,100,True,5,10,500,True,0.21,0.21,0.21
lsh_random,10,1,100,True,10,1,500,True,0.106,0.106,0.106
lsh_random,10,1,100,True,10,5,500,True,0.103,0.103,0.103
lsh_random,10,1,100,True,10,10,500,True,0.091,0.091,0.091
lsh_random,10,1,100,True,20,1,500,True,0.068,0.068,0.068
