method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,1,2,1,True,0.486,0.532,0.532
lsh_one_rest,6,1,2,5,True,0.658,0.72,0.72
lsh_one_rest,6,1,2,10,True,0.658,0.69,0.69
lsh_one_rest,6,1,4,1,True,0.3,0.258,0.287
lsh_one_rest,6,1,4,5,True,0.376,0.332,0.384
lsh_one_rest,6,1,4,10,True,0.4,0.403,0.456
lsh_one_rest,6,2,2,1,True,0.606,0.597,0.597
lsh_one_rest,6,2,2,5,True,0.64,0.632,0.632
lsh_one_rest,6,2,2,10,True,0.68,0.738,0.738
lsh_one_rest,6,2,4,1,True,0.386,0.332,0.366
lsh_one_rest,6,2,4,5,True,0.362,0.44,0.458
lsh_one_rest,6,2,4,10,True,0.349,0.409,0.422
lsh_one_rest,6,5,2,1,True,0.553,0.472,0.472
lsh_one_rest,6,5,2,5,True,0.724,0.723,0.723
lsh_one_rest,6,5,2,10,True,0.554,0.659,0.659
lsh_one_rest,6,5,4,1,True,0.305,0.238,0.273
lsh_one_rest,6,5,4,5,True,0.382,0.425,0.445
lsh_one_rest,6,5,4,10,True,0.373,0.384,0.414
