method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,1,2,1,100,True,0.507,0.552,0.552
lsh_random,6,1,2,5,100,True,0.655,0.653,0.653
lsh_random,6,1,2,10,100,True,0.588,0.558,0.557
lsh_random,6,1,4,1,100,True,0.371,0.33,0.33
lsh_random,6,1,4,5,100,True,0.442,0.387,0.387
lsh_random,6,1,4,10,100,True,0.404,0.362,0.363
lsh_random,6,1,2,1,200,True,0.637,0.643,0.643
lsh_random,6,1,2,5,200,True,0.662,0.547,0.547
lsh_random,6,1,2,10,200,True,0.554,0.57,0.569
lsh_random,6,1,4,1,200,True,0.332,0.332,0.331
lsh_random,6,1,4,5,200,True,0.362,0.355,0.355
lsh_random,6,1,4,10,200,True,0.393,0.357,0.357
lsh_random,6,1,2,1,500,True,0.524,0.485,0.488
lsh_random,6,1,2,5,500,True,0.61,0.647,0.641
lsh_random,6,1,2,10,500,True,0.634,0.654,0.654
lsh_random,6,1,4,1,500,True,0.308,0.306,0.305
lsh_random,6,1,4,5,500,True,0.356,0.325,0.325
lsh_random,6,1,4,10,500,True,0.409,0.35,0.349
lsh_random,6,1,2,1,1000,True,0.608,0.636,0.631
lsh_random,6,1,2,5,1000,True,0.662,0.628,0.63
lsh_random,6,1,2,10,1000,True,0.62,0.647,0.646
lsh_random,6,1,4,1,1000,True,0.369,0.364,0.36
lsh_random,6,1,4,5,1000,True,0.382,0.37,0.368
lsh_random,6,1,4,10,1000,True,0.468,0.437,0.436
lsh_random,6,2,2,1,100,True,0.533,0.621,0.621
lsh_random,6,2,2,5,100,True,0.552,0.427,0.426
lsh_random,6,2,2,10,100,True,0.711,0.587,0.589
lsh_random,6,2,4,1,100,True,0.336,0.368,0.368
lsh_random,6,2,4,5,100,True,0.455,0.324,0.328
lsh_random,6,2,4,10,100,True,0.402,0.349,0.35
lsh_random,6,2,2,1,200,True,0.428,0.452,0.452
lsh_random,6,2,2,5,200,True,0.552,0.54,0.54
lsh_random,6,2,2,10,200,True,0.653,0.607,0.608
lsh_random,6,2,4,1,200,True,0.248,0.246,0.246
lsh_random,6,2,4,5,200,True,0.384,0.373,0.373
lsh_random,6,2,4,10,200,True,0.368,0.354,0.355
lsh_random,6,2,2,1,500,True,0.626,0.589,0.589
lsh_random,6,2,2,5,500,True,0.704,0.72,0.72
lsh_random,6,2,2,10,500,True,0.698,0.64,0.64
lsh_random,6,2,4,1,500,True,0.406,0.375,0.376
lsh_random,6,2,4,5,500,True,0.394,0.317,0.317
lsh_random,6,2,4,10,500,True,0.414,0.353,0.353
lsh_random,6,2,2,1,1000,True,0.641,0.635,0.633
lsh_random,6,2,2,5,1000,True,0.682,0.668,0.67
lsh_random,6,2,2,10,1000,True,0.649,0.671,0.669
lsh_random,6,2,4,1,1000,True,0.276,0.279,0.279
lsh_random,6,2,4,5,1000,True,0.388,0.359,0.357
lsh_random,6,2,4,10,1000,True,0.456,0.421,0.419
lsh_random,6,5,2,1,100,True,0.497,0.535,0.535
lsh_random,6,5,2,5,100,True,0.648,0.585,0.585
lsh_random,6,5,2,10,100,True,0.629,0.551,0.551
lsh_random,6,5,4,1,100,True,0.267,0.253,0.252
lsh_random,6,5,4,5,100,True,0.366,0.37,0.37
lsh_random,6,5,4,10,100,True,0.447,0.307,0.308
lsh_random,6,5,2,1,200,True,0.519,0.495,0.495
lsh_random,6,5,2,5,200,True,0.532,0.616,0.616
lsh_random,6,5,2,10,200,True,0.642,0.603,0.604
lsh_random,6,5,4,1,200,True,0.23,0.276,0.276
lsh_random,6,5,4,5,200,True,0.385,0.361,0.362
lsh_random,6,5,4,10,200,True,0.379,0.335,0.335
lsh_random,6,5,2,1,500,True,0.399,0.39,0.39
lsh_random,6,5,2,5,500,True,0.592,0.608,0.613
lsh_random,6,5,2,10,500,True,0.668,0.673,0.673
lsh_random,6,5,4,1,500,True,0.286,0.29,0.289
lsh_random,6,5,4,5,500,True,0.403,0.314,0.312
lsh_random,6,5,4,10,500,True,0.469,0.424,0.42
lsh_random,6,5,2,1,1000,True,0.642,0.631,0.631
lsh_random,6,5,2,5,1000,True,0.537,0.558,0.558
lsh_random,6,5,2,10,1000,True,0.715,0.712,0.712
lsh_random,6,5,4,1,1000,True,0.363,0.375,0.373
lsh_random,6,5,4,5,1000,True,0.294,0.298,0.298
lsh_random,6,5,4,10,1000,True,0.452,0.417,0.418
