method,model_classes,model_supports,model_period,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,2,1000,2,1,100,True,0.609,0.476,0.476
lsh_random,6,2,1000,2,5,100,True,0.695,0.7,0.7
lsh_random,6,2,1000,2,10,100,True,0.684,0.605,0.605
lsh_random,6,2,1000,4,1,100,True,0.345,0.315,0.315
lsh_random,6,2,1000,4,5,100,True,0.414,0.363,0.363
lsh_random,6,2,1000,4,10,100,True,0.412,0.319,0.323
lsh_random,6,2,1000,2,1,200,True,0.509,0.523,0.523
lsh_random,6,2,1000,2,5,200,True,0.655,0.628,0.628
lsh_random,6,2,1000,2,10,200,True,0.645,0.601,0.603
lsh_random,6,2,1000,4,1,200,True,0.26,0.283,0.285
lsh_random,6,2,1000,4,5,200,True,0.4,0.348,0.348
lsh_random,6,2,1000,4,10,200,True,0.39,0.358,0.358
lsh_random,6,2,1000,2,1,500,True,0.588,0.644,0.645
lsh_random,6,2,1000,2,5,500,True,0.692,0.686,0.686
lsh_random,6,2,1000,2,10,500,True,0.626,0.644,0.644
lsh_random,6,2,1000,4,1,500,True,0.318,0.284,0.283
lsh_random,6,2,1000,4,5,500,True,0.443,0.4,0.399
lsh_random,6,2,1000,4,10,500,True,0.421,0.408,0.407
lsh_random,6,2,1000,2,1,1000,True,0.579,0.597,0.597
lsh_random,6,2,1000,2,5,1000,True,0.675,0.686,0.683
lsh_random,6,2,1000,2,10,1000,True,0.616,0.654,0.654
lsh_random,6,2,1000,4,1,1000,True,0.308,0.303,0.303
lsh_random,6,2,1000,4,5,1000,True,0.368,0.379,0.379
lsh_random,6,2,1000,4,10,1000,True,0.444,0.404,0.403
lsh_random,6,1,1000,2,1,100,True,0.577,0.548,0.548
lsh_random,6,1,1000,2,5,100,True,0.606,0.643,0.643
lsh_random,6,1,1000,2,10,100,True,0.65,0.642,0.643
lsh_random,6,1,1000,4,1,100,True,0.301,0.298,0.3
lsh_random,6,1,1000,4,5,100,True,0.335,0.322,0.322
lsh_random,6,1,1000,4,10,100,True,0.403,0.345,0.343
lsh_random,6,1,1000,2,1,200,True,0.574,0.56,0.557
lsh_random,6,1,1000,2,5,200,True,0.668,0.677,0.679
lsh_random,6,1,1000,2,10,200,True,0.635,0.608,0.608
lsh_random,6,1,1000,4,1,200,True,0.285,0.263,0.263
lsh_random,6,1,1000,4,5,200,True,0.407,0.356,0.356
lsh_random,6,1,1000,4,10,200,True,0.455,0.416,0.415
lsh_random,6,1,1000,2,1,500,True,0.522,0.508,0.508
lsh_random,6,1,1000,2,5,500,True,0.686,0.686,0.686
lsh_random,6,1,1000,2,10,500,True,0.693,0.715,0.714
lsh_random,6,1,1000,4,1,500,True,0.257,0.263,0.267
lsh_random,6,1,1000,4,5,500,True,0.387,0.37,0.363
lsh_random,6,1,1000,4,10,500,True,0.372,0.368,0.368
lsh_random,6,1,1000,2,1,1000,True,0.692,0.658,0.658
