method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,1,2,1,True,0.974,0.947,0.947
lsh_one_rest,6,1,2,5,True,0.994,0.988,0.988
lsh_one_rest,6,1,2,10,True,0.992,0.991,0.991
lsh_one_rest,6,1,4,1,True,0.722,0.543,0.712
lsh_one_rest,6,1,4,5,True,0.911,0.917,0.923
lsh_one_rest,6,1,4,10,True,0.922,0.9,0.925
lsh_one_rest,6,2,2,1,True,0.969,0.907,0.907
lsh_one_rest,6,2,2,5,True,0.983,0.963,0.963
lsh_one_rest,6,2,2,10,True,0.989,0.97,0.97
lsh_one_rest,6,2,4,1,True,0.808,0.62,0.725
lsh_one_rest,6,2,4,5,True,0.925,0.896,0.938
lsh_one_rest,6,2,4,10,True,0.938,0.917,0.942
lsh_one_rest,6,5,2,1,True,0.857,0.819,0.819
lsh_one_rest,6,5,2,5,True,0.99,0.995,0.995
lsh_one_rest,6,5,2,10,True,0.997,0.98,0.98
lsh_one_rest,6,5,4,1,True,0.428,0.378,0.443
lsh_one_rest,6,5,4,5,True,0.897,0.859,0.932
lsh_one_rest,6,5,4,10,True,0.944,0.913,0.935
