method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,1,2,1,100,True,0.947,0.95,0.95
lsh_random,6,1,2,5,100,True,0.988,0.98,0.98
lsh_random,6,1,2,10,100,True,0.995,0.984,0.984
lsh_random,6,1,4,1,100,True,0.88,0.766,0.779
lsh_random,6,1,4,5,100,True,0.903,0.855,0.847
lsh_random,6,1,4,10,100,True,0.939,0.875,0.861
lsh_random,6,1,2,1,200,True,0.968,0.968,0.963
lsh_random,6,1,2,5,200,True,0.992,0.987,0.987
lsh_random,6,1,2,10,200,True,0.998,0.978,0.978
lsh_random,6,1,4,1,200,True,0.847,0.75,0.75
lsh_random,6,1,4,5,200,True,0.922,0.88,0.881
lsh_random,6,1,4,10,200,True,0.923,0.889,0.892
lsh_random,6,1,2,1,500,True,0.994,0.976,0.977
lsh_random,6,1,2,5,500,True,0.983,0.988,0.988
lsh_random,6,1,2,10,500,True,0.988,0.991,0.991
lsh_random,6,1,4,1,500,True,0.882,0.868,0.869
lsh_random,6,1,4,5,500,True,0.912,0.919,0.916
lsh_random,6,1,4,10,500,True,0.913,0.908,0.906
lsh_random,6,1,2,1,1000,True,0.987,0.987,0.987
lsh_random,6,1,2,5,1000,True,0.99,0.993,0.993
lsh_random,6,1,2,10,1000,True,0.99,0.982,0.982
lsh_random,6,1,4,1,1000,True,0.857,0.853,0.85
lsh_random,6,1,4,5,1000,True,0.923,0.919,0.919
lsh_random,6,1,4,10,1000,True,0.942,0.934,0.934
lsh_random,6,2,2,1,100,True,0.975,0.894,0.894
lsh_random,6,2,2,5,100,True,0.988,0.967,0.966
lsh_random,6,2,2,10,100,True,0.979,0.984,0.984
lsh_random,6,2,4,1,100,True,0.904,0.78,0.767
lsh_random,6,2,4,5,100,True,0.888,0.786,0.781
lsh_random,6,2,4,10,100,True,0.929,0.882,0.88
lsh_random,6,2,2,1,200,True,0.96,0.963,0.963
lsh_random,6,2,2,5,200,True,0.989,0.99,0.982
lsh_random,6,2,2,10,200,True,0.997,0.981,0.981
lsh_random,6,2,4,1,200,True,0.843,0.742,0.74
lsh_random,6,2,4,5,200,True,0.787,0.756,0.75
lsh_random,6,2,4,10,200,True,0.918,0.886,0.891
lsh_random,6,2,2,1,500,True,0.959,0.945,0.945
lsh_random,6,2,2,5,500,True,0.992,0.986,0.981
lsh_random,6,2,2,10,500,True,0.99,0.989,0.989
lsh_random,6,2,4,1,500,True,0.746,0.687,0.69
lsh_random,6,2,4,5,500,True,0.921,0.871,0.871
lsh_random,6,2,4,10,500,True,0.921,0.904,0.905
lsh_random,6,2,2,1,1000,True,0.841,0.854,0.853
lsh_random,6,2,2,5,1000,True,0.982,0.985,0.985
lsh_random,6,2,2,10,1000,True,0.994,0.989,0.989
lsh_random,6,2,4,1,1000,True,0.799,0.718,0.717
lsh_random,6,2,4,5,1000,True,0.905,0.869,0.871
lsh_random,6,2,4,10,1000,True,0.94,0.934,0.933
lsh_random,6,5,2,1,100,True,0.99,0.98,0.974
lsh_random,6,5,2,5,100,True,0.95,0.916,0.925
lsh_random,6,5,2,10,100,True,0.998,0.987,0.987
lsh_random,6,5,4,1,100,True,0.751,0.595,0.607
lsh_random,6,5,4,5,100,True,0.893,0.72,0.716
lsh_random,6,5,4,10,100,True,0.925,0.828,0.815
lsh_random,6,5,2,1,200,True,0.986,0.972,0.972
lsh_random,6,5,2,5,200,True,0.997,0.991,0.992
lsh_random,6,5,2,10,200,True,0.993,0.991,0.991
lsh_random,6,5,4,1,200,True,0.783,0.676,0.68
lsh_random,6,5,4,5,200,True,0.893,0.801,0.807
lsh_random,6,5,4,10,200,True,0.931,0.892,0.889
lsh_random,6,5,2,1,500,True,0.99,0.987,0.987
lsh_random,6,5,2,5,500,True,0.992,0.988,0.988
lsh_random,6,5,2,10,500,True,0.998,0.996,0.996
lsh_random,6,5,4,1,500,True,0.817,0.8,0.794
lsh_random,6,5,4,5,500,True,0.905,0.885,0.883
lsh_random,6,5,4,10,500,True,0.937,0.923,0.922
lsh_random,6,5,2,1,1000,True,0.968,0.955,0.958
lsh_random,6,5,2,5,1000,True,0.99,0.993,0.993
lsh_random,6,5,2,10,1000,True,0.991,0.99,0.991
lsh_random,6,5,4,1,1000,True,0.715,0.695,0.695
lsh_random,6,5,4,5,1000,True,0.93,0.916,0.917
lsh_random,6,5,4,10,1000,True,0.917,0.914,0.915
