method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,2,1000,2,1,True,0.925,0.929,0.929
lsh_one_rest,6,2,1000,2,5,True,0.963,0.962,0.962
lsh_one_rest,6,2,1000,2,10,True,0.97,0.962,0.962
lsh_one_rest,6,2,1000,4,1,True,0.676,0.558,0.595
lsh_one_rest,6,2,1000,4,5,True,0.816,0.887,0.902
lsh_one_rest,6,2,1000,4,10,True,0.849,0.887,0.891
lsh_one_rest,6,1,1000,2,1,True,0.954,0.929,0.929
lsh_one_rest,6,1,1000,2,5,True,0.973,0.961,0.961
lsh_one_rest,6,1,1000,2,10,True,0.976,0.982,0.982
lsh_one_rest,6,1,1000,4,1,True,0.745,0.592,0.69
lsh_one_rest,6,1,1000,4,5,True,0.874,0.845,0.867
lsh_one_rest,6,1,1000,4,10,True,0.894,0.898,0.887
lsh_one_rest,6,5,1000,2,1,True,0.976,0.93,0.93
lsh_one_rest,6,5,1000,2,5,True,0.963,0.967,0.967
lsh_one_rest,6,5,1000,2,10,True,0.982,0.982,0.982
lsh_one_rest,6,5,1000,4,1,True,0.782,0.633,0.683
lsh_one_rest,6,5,1000,4,5,True,0.813,0.875,0.897
lsh_one_rest,6,5,1000,4,10,True,0.85,0.865,0.898
lsh_one_rest,6,1,100,2,1,True,0.957,0.963,0.963
lsh_one_rest,6,1,100,2,5,True,0.985,0.984,0.984
lsh_one_rest,6,1,100,2,10,True,0.981,0.969,0.969
lsh_one_rest,6,1,100,4,1,True,0.599,0.604,0.587
lsh_one_rest,6,1,100,4,5,True,0.868,0.827,0.856
lsh_one_rest,6,1,100,4,10,True,0.874,0.876,0.899
lsh_one_rest,6,1,500,2,1,True,0.987,0.963,0.963
lsh_one_rest,6,1,500,2,5,True,0.982,0.974,0.974
lsh_one_rest,6,1,500,2,10,True,0.983,0.975,0.975
lsh_one_rest,6,1,500,4,1,True,0.728,0.64,0.686
lsh_one_rest,6,1,500,4,5,True,0.752,0.763,0.802
lsh_one_rest,6,1,500,4,10,True,0.894,0.892,0.907
lsh_one_rest,6,2,100,2,1,True,0.955,0.974,0.974
lsh_one_rest,6,2,100,2,5,True,0.981,0.985,0.985
lsh_one_rest,6,2,100,2,10,True,0.99,0.98,0.98
lsh_one_rest,6,2,100,4,1,True,0.793,0.712,0.79
lsh_one_rest,6,2,100,4,5,True,0.852,0.853,0.851
lsh_one_rest,6,2,100,4,10,True,0.836,0.852,0.847
lsh_one_rest,6,2,500,2,1,True,0.884,0.846,0.846
lsh_one_rest,6,2,500,2,5,True,0.973,0.968,0.968
lsh_one_rest,6,2,500,2,10,True,0.989,0.99,0.99
lsh_one_rest,6,2,500,4,1,True,0.847,0.692,0.774
lsh_one_rest,6,2,500,4,5,True,0.862,0.837,0.867
lsh_one_rest,6,2,500,4,10,True,0.88,0.882,0.9
lsh_one_rest,6,5,100,2,1,True,0.92,0.925,0.925
lsh_one_rest,6,5,100,2,5,True,0.987,0.988,0.988
lsh_one_rest,6,5,100,2,10,True,0.978,0.943,0.943
lsh_one_rest,6,5,100,4,1,True,0.575,0.494,0.524
lsh_one_rest,6,5,100,4,5,True,0.863,0.802,0.813
lsh_one_rest,6,5,100,4,10,True,0.892,0.912,0.94
lsh_one_rest,6,5,500,2,1,True,0.954,0.926,0.926
lsh_one_rest,6,5,500,2,5,True,0.971,0.972,0.972
lsh_one_rest,6,5,500,2,10,True,0.98,0.972,0.972
lsh_one_rest,6,5,500,4,1,True,0.494,0.476,0.497
lsh_one_rest,6,5,500,4,5,True,0.774,0.782,0.805
lsh_one_rest,6,5,500,4,10,True,0.819,0.867,0.869
