method,model_classes,model_supports,model_period,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,6,2,1000,2,1,100,True,0.818,0.839,0.763
lsh_random,6,2,1000,2,5,100,True,0.968,0.975,0.974
lsh_random,6,2,1000,2,10,100,True,0.915,0.954,0.957
lsh_random,6,2,1000,4,1,100,True,0.619,0.602,0.598
lsh_random,6,2,1000,4,5,100,True,0.816,0.673,0.666
lsh_random,6,2,1000,4,10,100,True,0.846,0.74,0.73
lsh_random,6,2,1000,2,1,200,True,0.843,0.797,0.829
lsh_random,6,2,1000,2,5,200,True,0.973,0.979,0.984
lsh_random,6,2,1000,2,10,200,True,0.968,0.968,0.968
lsh_random,6,2,1000,4,1,200,True,0.636,0.503,0.506
lsh_random,6,2,1000,4,5,200,True,0.785,0.734,0.727
lsh_random,6,2,1000,4,10,200,True,0.843,0.807,0.81
lsh_random,6,2,1000,2,1,500,True,0.95,0.963,0.966
lsh_random,6,2,1000,2,5,500,True,0.979,0.982,0.982
lsh_random,6,2,1000,2,10,500,True,0.978,0.979,0.979
lsh_random,6,2,1000,4,1,500,True,0.592,0.559,0.562
lsh_random,6,2,1000,4,5,500,True,0.811,0.777,0.776
lsh_random,6,2,1000,4,10,500,True,0.802,0.801,0.805
lsh_random,6,2,1000,2,1,1000,True,0.948,0.94,0.94
lsh_random,6,2,1000,2,5,1000,True,0.986,0.985,0.983
lsh_random,6,2,1000,2,10,1000,True,0.984,0.984,0.981
lsh_random,6,2,1000,4,1,1000,True,0.562,0.559,0.551
lsh_random,6,2,1000,4,5,1000,True,0.801,0.777,0.775
lsh_random,6,2,1000,4,10,1000,True,0.881,0.852,0.855
lsh_random,6,1,1000,2,1,100,True,0.776,0.634,0.627
lsh_random,6,1,1000,2,5,100,True,0.972,0.923,0.929
lsh_random,6,1,1000,2,10,100,True,0.988,0.951,0.955
lsh_random,6,1,1000,4,1,100,True,0.691,0.526,0.535
lsh_random,6,1,1000,4,5,100,True,0.86,0.773,0.788
lsh_random,6,1,1000,4,10,100,True,0.864,0.822,0.812
lsh_random,6,1,1000,2,1,200,True,0.974,0.956,0.952
lsh_random,6,1,1000,2,5,200,True,0.964,0.9,0.895
lsh_random,6,1,1000,2,10,200,True,0.959,0.964,0.962
lsh_random,6,1,1000,4,1,200,True,0.52,0.482,0.48
lsh_random,6,1,1000,4,5,200,True,0.84,0.836,0.836
lsh_random,6,1,1000,4,10,200,True,0.874,0.833,0.827
lsh_random,6,1,1000,2,1,500,True,0.962,0.946,0.946
lsh_random,6,1,1000,2,5,500,True,0.986,0.983,0.983
lsh_random,6,1,1000,2,10,500,True,0.977,0.985,0.986
lsh_random,6,1,1000,4,1,500,True,0.64,0.603,0.606
lsh_random,6,1,1000,4,5,500,True,0.853,0.834,0.833
lsh_random,6,1,1000,4,10,500,True,0.882,0.854,0.852
lsh_random,6,1,1000,2,1,1000,True,0.65,0.573,0.572
lsh_random,6,1,1000,2,5,1000,True,0.989,0.992,0.992
lsh_random,6,1,1000,2,10,1000,True,0.978,0.976,0.976
lsh_random,6,1,1000,4,1,1000,True,0.507,0.494,0.492
lsh_random,6,1,1000,4,5,1000,True,0.803,0.807,0.805
lsh_random,6,1,1000,4,10,1000,True,0.871,0.866,0.863
lsh_random,6,5,1000,2,1,100,True,0.982,0.862,0.862
lsh_random,6,5,1000,2,5,100,True,0.983,0.967,0.964
lsh_random,6,5,1000,2,10,100,True,0.981,0.961,0.964
lsh_random,6,5,1000,4,1,100,True,0.723,0.389,0.45
lsh_random,6,5,1000,4,5,100,True,0.84,0.734,0.734
lsh_random,6,5,1000,4,10,100,True,0.905,0.793,0.786
lsh_random,6,5,1000,2,1,200,True,0.907,0.929,0.929
lsh_random,6,5,1000,2,5,200,True,0.971,0.908,0.903
lsh_random,6,5,1000,2,10,200,True,0.987,0.986,0.98
lsh_random,6,5,1000,4,1,200,True,0.774,0.662,0.661
lsh_random,6,5,1000,4,5,200,True,0.827,0.754,0.764
lsh_random,6,5,1000,4,10,200,True,0.887,0.786,0.79
lsh_random,6,5,1000,2,1,500,True,0.961,0.939,0.941
lsh_random,6,5,1000,2,5,500,True,0.914,0.922,0.924
lsh_random,6,5,1000,2,10,500,True,0.987,0.984,0.981
lsh_random,6,5,1000,4,1,500,True,0.661,0.644,0.646
lsh_random,6,5,1000,4,5,500,True,0.803,0.783,0.784
lsh_random,6,5,1000,4,10,500,True,0.882,0.847,0.846
lsh_random,6,5,1000,2,1,1000,True,0.974,0.982,0.982
lsh_random,6,5,1000,2,5,1000,True,0.986,0.985,0.984
lsh_random,6,5,1000,2,10,1000,True,0.994,0.994,0.994
lsh_random,6,5,1000,4,1,1000,True,0.712,0.713,0.709
lsh_random,6,5,1000,4,5,1000,True,0.802,0.799,0.803
lsh_random,6,5,1000,4,10,1000,True,0.864,0.857,0.856
lsh_random,6,1,100,2,1,100,True,0.957,0.821,0.821
lsh_random,6,1,100,2,5,100,True,0.973,0.959,0.958
lsh_random,6,1,100,2,10,100,True,0.988,0.99,0.989
lsh_random,6,1,100,4,1,100,True,0.757,0.566,0.57
lsh_random,6,1,100,4,5,100,True,0.859,0.737,0.737
lsh_random,6,1,100,4,10,100,True,0.874,0.838,0.841
lsh_random,6,1,100,2,1,200,True,0.959,0.974,0.974
lsh_random,6,1,100,2,5,200,True,0.984,0.977,0.977
lsh_random,6,1,100,2,10,200,True,0.982,0.971,0.969
lsh_random,6,1,100,4,1,200,True,0.748,0.809,0.808
lsh_random,6,1,100,4,5,200,True,0.795,0.761,0.76
lsh_random,6,1,100,4,10,200,True,0.904,0.843,0.839
lsh_random,6,1,100,2,1,500,True,0.974,0.979,0.979
lsh_random,6,1,100,2,5,500,True,0.982,0.978,0.978
lsh_random,6,1,100,2,10,500,True,0.984,0.984,0.984
lsh_random,6,1,100,4,1,500,True,0.717,0.647,0.647
lsh_random,6,1,100,4,5,500,True,0.85,0.827,0.828
lsh_random,6,1,100,4,10,500,True,0.889,0.857,0.854
lsh_random,6,1,100,2,1,1000,True,0.939,0.935,0.935
lsh_random,6,1,100,2,5,1000,True,0.98,0.977,0.977
lsh_random,6,1,100,2,10,1000,True,0.977,0.981,0.98
lsh_random,6,1,100,4,1,1000,True,0.737,0.667,0.665
lsh_random,6,1,100,4,5,1000,True,0.851,0.794,0.792
lsh_random,6,1,100,4,10,1000,True,0.853,0.833,0.832
lsh_random,6,1,500,2,1,100,True,0.929,0.846,0.846
lsh_random,6,1,500,2,5,100,True,0.968,0.927,0.927
lsh_random,6,1,500,2,10,100,True,0.983,0.942,0.942
lsh_random,6,1,500,4,1,100,True,0.735,0.637,0.632
lsh_random,6,1,500,4,5,100,True,0.778,0.692,0.696
lsh_random,6,1,500,4,10,100,True,0.856,0.711,0.707
lsh_random,6,1,500,2,1,200,True,0.962,0.934,0.934
lsh_random,6,1,500,2,5,200,True,0.983,0.98,0.978
lsh_random,6,1,500,2,10,200,True,0.984,0.991,0.992
lsh_random,6,1,500,4,1,200,True,0.785,0.668,0.663
lsh_random,6,1,500,4,5,200,True,0.794,0.734,0.729
lsh_random,6,1,500,4,10,200,True,0.823,0.781,0.783
lsh_random,6,1,500,2,1,500,True,0.915,0.965,0.966
lsh_random,6,1,500,2,5,500,True,0.973,0.976,0.972
lsh_random,6,1,500,2,10,500,True,0.979,0.976,0.976
lsh_random,6,1,500,4,1,500,True,0.706,0.701,0.7
lsh_random,6,1,500,4,5,500,True,0.851,0.814,0.814
lsh_random,6,1,500,4,10,500,True,0.873,0.86,0.853
lsh_random,6,1,500,2,1,1000,True,0.656,0.516,0.516
lsh_random,6,1,500,2,5,1000,True,0.979,0.979,0.979
lsh_random,6,1,500,2,10,1000,True,0.985,0.979,0.979
lsh_random,6,1,500,4,1,1000,True,0.666,0.682,0.678
lsh_random,6,1,500,4,5,1000,True,0.767,0.734,0.728
lsh_random,6,1,500,4,10,1000,True,0.862,0.871,0.869
lsh_random,6,2,100,2,1,100,True,0.951,0.846,0.849
lsh_random,6,2,100,2,5,100,True,0.985,0.971,0.971
lsh_random,6,2,100,2,10,100,True,0.976,0.967,0.966
lsh_random,6,2,100,4,1,100,True,0.67,0.56,0.57
lsh_random,6,2,100,4,5,100,True,0.86,0.752,0.748
lsh_random,6,2,100,4,10,100,True,0.87,0.79,0.788
lsh_random,6,2,100,2,1,200,True,0.974,0.975,0.975
lsh_random,6,2,100,2,5,200,True,0.983,0.937,0.94
lsh_random,6,2,100,2,10,200,True,0.976,0.967,0.967
lsh_random,6,2,100,4,1,200,True,0.698,0.646,0.661
lsh_random,6,2,100,4,5,200,True,0.811,0.789,0.786
lsh_random,6,2,100,4,10,200,True,0.86,0.862,0.86
lsh_random,6,2,100,2,1,500,True,0.959,0.951,0.951
lsh_random,6,2,100,2,5,500,True,0.975,0.976,0.976
lsh_random,6,2,100,2,10,500,True,0.988,0.99,0.99
lsh_random,6,2,100,4,1,500,True,0.742,0.761,0.763
lsh_random,6,2,100,4,5,500,True,0.834,0.843,0.841
lsh_random,6,2,100,4,10,500,True,0.852,0.795,0.798
lsh_random,6,2,100,2,1,1000,True,0.974,0.971,0.971
lsh_random,6,2,100,2,5,1000,True,0.974,0.972,0.972
lsh_random,6,2,100,2,10,1000,True,0.98,0.987,0.988
lsh_random,6,2,100,4,1,1000,True,0.697,0.643,0.644
lsh_random,6,2,100,4,5,1000,True,0.84,0.826,0.825
lsh_random,6,2,100,4,10,1000,True,0.863,0.855,0.854
lsh_random,6,2,500,2,1,100,True,0.979,0.947,0.946
lsh_random,6,2,500,2,5,100,True,0.981,0.967,0.962
lsh_random,6,2,500,2,10,100,True,0.984,0.976,0.975
lsh_random,6,2,500,4,1,100,True,0.616,0.572,0.562
lsh_random,6,2,500,4,5,100,True,0.85,0.755,0.753
lsh_random,6,2,500,4,10,100,True,0.887,0.728,0.739
lsh_random,6,2,500,2,1,200,True,0.967,0.97,0.969
lsh_random,6,2,500,2,5,200,True,0.975,0.973,0.973
lsh_random,6,2,500,2,10,200,True,0.987,0.986,0.987
lsh_random,6,2,500,4,1,200,True,0.668,0.621,0.61
lsh_random,6,2,500,4,5,200,True,0.799,0.776,0.769
lsh_random,6,2,500,4,10,200,True,0.858,0.843,0.828
lsh_random,6,2,500,2,1,500,True,0.956,0.895,0.895
lsh_random,6,2,500,2,5,500,True,0.987,0.976,0.973
lsh_random,6,2,500,2,10,500,True,0.989,0.985,0.985
lsh_random,6,2,500,4,1,500,True,0.591,0.604,0.606
lsh_random,6,2,500,4,5,500,True,0.799,0.788,0.787
lsh_random,6,2,500,4,10,500,True,0.894,0.885,0.885
lsh_random,6,2,500,2,1,1000,True,0.985,0.983,0.983
lsh_random,6,2,500,2,5,1000,True,0.979,0.978,0.978
lsh_random,6,2,500,2,10,1000,True,0.974,0.973,0.973
lsh_random,6,2,500,4,1,1000,True,0.729,0.727,0.725
lsh_random,6,2,500,4,5,1000,True,0.852,0.834,0.835
lsh_random,6,2,500,4,10,1000,True,0.881,0.852,0.851
lsh_random,6,5,100,2,1,100,True,0.909,0.928,0.928
lsh_random,6,5,100,2,5,100,True,0.988,0.963,0.965
lsh_random,6,5,100,2,10,100,True,0.978,0.947,0.943
lsh_random,6,5,100,4,1,100,True,0.772,0.737,0.733
lsh_random,6,5,100,4,5,100,True,0.844,0.714,0.717
lsh_random,6,5,100,4,10,100,True,0.847,0.771,0.767
lsh_random,6,5,100,2,1,200,True,0.984,0.982,0.982
lsh_random,6,5,100,2,5,200,True,0.974,0.933,0.939
lsh_random,6,5,100,2,10,200,True,0.967,0.964,0.963
lsh_random,6,5,100,4,1,200,True,0.589,0.65,0.642
lsh_random,6,5,100,4,5,200,True,0.818,0.785,0.768
lsh_random,6,5,100,4,10,200,True,0.853,0.787,0.795
lsh_random,6,5,100,2,1,500,True,0.892,0.9,0.907
lsh_random,6,5,100,2,5,500,True,0.988,0.99,0.989
lsh_random,6,5,100,2,10,500,True,0.986,0.982,0.979
lsh_random,6,5,100,4,1,500,True,0.685,0.66,0.663
lsh_random,6,5,100,4,5,500,True,0.843,0.816,0.808
lsh_random,6,5,100,4,10,500,True,0.851,0.783,0.776
lsh_random,6,5,100,2,1,1000,True,0.942,0.936,0.936
lsh_random,6,5,100,2,5,1000,True,0.995,0.995,0.995
lsh_random,6,5,100,2,10,1000,True,0.98,0.978,0.978
lsh_random,6,5,100,4,1,1000,True,0.573,0.537,0.536
lsh_random,6,5,100,4,5,1000,True,0.845,0.836,0.833
lsh_random,6,5,100,4,10,1000,True,0.854,0.862,0.861
lsh_random,6,5,500,2,1,100,True,0.705,0.429,0.429
lsh_random,6,5,500,2,5,100,True,0.977,0.888,0.881
lsh_random,6,5,500,2,10,100,True,0.982,0.943,0.944
lsh_random,6,5,500,4,1,100,True,0.653,0.523,0.52
lsh_random,6,5,500,4,5,100,True,0.791,0.629,0.613
lsh_random,6,5,500,4,10,100,True,0.865,0.758,0.751
lsh_random,6,5,500,2,1,200,True,0.928,0.831,0.878
lsh_random,6,5,500,2,5,200,True,0.982,0.965,0.964
lsh_random,6,5,500,2,10,200,True,0.979,0.947,0.948
lsh_random,6,5,500,4,1,200,True,0.574,0.588,0.59
lsh_random,6,5,500,4,5,200,True,0.796,0.715,0.704
lsh_random,6,5,500,4,10,200,True,0.879,0.781,0.771
lsh_random,6,5,500,2,1,500,True,0.934,0.938,0.938
lsh_random,6,5,500,2,5,500,True,0.98,0.974,0.974
lsh_random,6,5,500,2,10,500,True,0.995,0.993,0.993
lsh_random,6,5,500,4,1,500,True,0.53,0.514,0.513
lsh_random,6,5,500,4,5,500,True,0.849,0.826,0.823
lsh_random,6,5,500,4,10,500,True,0.867,0.848,0.844
lsh_random,6,5,500,2,1,1000,True,0.911,0.879,0.878
lsh_random,6,5,500,2,5,1000,True,0.98,0.972,0.972
lsh_random,6,5,500,2,10,1000,True,0.983,0.982,0.983
lsh_random,6,5,500,4,1,1000,True,0.658,0.577,0.578
lsh_random,6,5,500,4,5,1000,True,0.858,0.848,0.849
lsh_random,6,5,500,4,10,1000,True,0.868,0.865,0.868
