classes,samples,training,planes,accuracy
10,1,False,1000,0.09375
10,1,False,100,0.0
10,1,False,2000,0.0625
10,1,False,200,0.09375
10,1,False,500,0.15625
10,1,True,1000,0.0
10,1,True,100,0.09375
10,1,True,2000,0.15625
10,1,True,200,0.125
10,1,True,500,0.03125
10,2,False,1000,0.25
10,2,False,100,0.125
10,2,False,2000,0.0
10,2,False,200,0.0
10,2,False,500,0.125
10,2,True,1000,0.03125
10,2,True,100,0.1875
10,2,True,2000,0.0625
10,2,True,200,0.09375
10,2,True,500,0.03125
10,5,False,1000,0.03125
10,5,False,100,0.1875
10,5,False,2000,0.09375
10,5,False,200,0.09375
10,5,False,500,0.0625
10,5,True,1000,0.09375
10,5,True,100,0.0625
10,5,True,2000,0.125
10,5,True,200,0.125
10,5,True,500,0.03125
20,1,False,1000,0.09375
20,1,False,100,0.0625
20,1,False,2000,0.0
20,1,False,200,0.0
20,1,False,500,0.03125
20,1,True,1000,0.03125
20,1,True,100,0.03125
20,1,True,2000,0.03125
20,1,True,200,0.125
20,1,True,500,0.03125
20,2,False,1000,0.03125
20,2,False,100,0.0
20,2,False,2000,0.0625
20,2,False,200,0.03125
20,2,False,500,0.0625
20,2,True,1000,0.09375
20,2,True,100,0.0
20,2,True,2000,0.03125
20,2,True,200,0.0625
20,2,True,500,0.0
20,5,False,1000,0.03125
20,5,False,100,0.0625
20,5,False,2000,0.03125
20,5,False,200,0.0625
20,5,False,500,0.03125
20,5,True,1000,0.0625
20,5,True,100,0.0
20,5,True,2000,0.0625
20,5,True,200,0.09375
20,5,True,500,0.0
