classes,samples,training,planes,accuracy
6,1,False,1000,0.09375
6,1,False,100,0.09375
6,1,False,2000,0.15625
6,1,False,200,0.125
6,1,False,500,0.125
6,1,True,1000,0.0
6,1,True,100,0.28125
6,1,True,2000,0.25
6,1,True,200,0.09375
6,1,True,500,0.0625
6,2,False,1000,0.125
6,2,False,100,0.25
6,2,False,2000,0.25
6,2,False,200,0.1875
6,2,False,500,0.375
6,2,True,1000,0.1875
6,2,True,100,0.125
6,2,True,2000,0.25
6,2,True,200,0.15625
6,2,True,500,0.15625
6,5,False,1000,0.125
6,5,False,100,0.09375
6,5,False,2000,0.15625
6,5,False,200,0.21875
6,5,False,500,0.15625
6,5,True,1000,0.09375
6,5,True,100,0.15625
6,5,True,2000,0.03125
6,5,True,200,0.09375
6,5,True,500,0.03125
