classes,samples,training,planes,accuracy
6,1,False,1000,0.96875
6,1,False,100,0.96875
6,1,False,2000,0.90625
6,1,False,200,0.9375
6,1,False,500,0.96875
6,1,True,1000,1.0
6,1,True,100,0.96875
6,1,True,2000,0.84375
6,1,True,200,0.96875
6,1,True,500,0.96875
6,2,False,1000,0.96875
6,2,False,100,0.96875
6,2,False,2000,1.0
6,2,False,200,0.9375
6,2,False,500,0.96875
6,2,True,1000,0.96875
6,2,True,100,0.9375
6,2,True,2000,1.0
6,2,True,200,1.0
6,2,True,500,0.96875
6,5,False,1000,0.9375
6,5,False,100,0.9375
6,5,False,2000,0.96875
6,5,False,200,0.875
6,5,False,500,1.0
6,5,True,1000,0.9375
6,5,True,100,1.0
6,5,True,2000,0.96875
6,5,True,200,1.0
6,5,True,500,0.96875
