classes,samples,training,planes,accuracy
10,1,False,1000,0.84375
10,1,False,100,0.75
10,1,False,2000,0.8125
10,1,False,200,0.71875
10,1,False,500,0.6875
10,1,True,1000,0.75
10,1,True,100,0.8125
10,1,True,2000,0.8125
10,1,True,200,0.71875
10,1,True,500,0.90625
10,2,False,1000,0.9375
10,2,False,100,0.84375
10,2,False,2000,0.90625
10,2,False,200,0.875
10,2,False,500,0.9375
10,2,True,1000,0.875
10,2,True,100,0.9375
10,2,True,2000,0.84375
10,2,True,200,0.90625
10,2,True,500,0.90625
10,5,False,1000,
10,5,False,100,
10,5,False,2000,0.96875
10,5,False,200,0.96875
10,5,False,500,0.9375
10,5,True,1000,
10,5,True,100,
10,5,True,2000,0.90625
10,5,True,200,
10,5,True,500,0.96875
20,1,False,1000,0.75
20,1,False,100,0.75
20,1,False,2000,0.65625
20,1,False,200,0.5625
20,1,False,500,0.75
20,1,True,1000,0.84375
20,1,True,100,0.46875
20,1,True,2000,0.65625
20,1,True,200,0.75
20,1,True,500,0.875
20,2,False,1000,
20,2,False,100,0.78125
20,2,False,2000,
20,2,False,200,0.75
20,2,False,500,0.78125
20,2,True,1000,0.90625
20,2,True,100,0.84375
20,2,True,2000,0.90625
20,2,True,200,0.875
20,2,True,500,0.84375
20,5,False,1000,
20,5,False,100,
20,5,False,2000,0.90625
20,5,False,200,1.0
20,5,False,500,0.90625
20,5,True,1000,0.875
20,5,True,100,
20,5,True,2000,0.96875
20,5,True,200,0.875
20,5,True,500,
