method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,10,1,5,1,True,0.767,0.866,0.788
lsh_one_rest,10,1,5,5,True,0.943,0.787,0.922
lsh_one_rest,10,1,5,10,True,0.809,0.736,0.861
lsh_one_rest,10,1,10,1,True,0.703,0.409,0.7
lsh_one_rest,10,1,10,5,True,0.887,0.509,0.838
lsh_one_rest,10,1,10,10,True,0.825,0.503,0.716
lsh_one_rest,10,1,20,1,True,0.782,0.492,0.771
lsh_one_rest,10,1,20,5,True,0.697,0.334,0.688
lsh_one_rest,10,1,20,10,True,0.663,0.41,0.671
lsh_one_rest,20,1,5,1,True,0.968,0.85,0.96
lsh_one_rest,20,1,5,5,True,0.974,0.856,0.931
lsh_one_rest,20,1,5,10,True,0.89,0.679,0.872
lsh_one_rest,20,1,10,1,True,0.893,0.61,0.86
lsh_one_rest,20,1,10,5,True,0.898,0.523,0.814
lsh_one_rest,20,1,10,10,True,0.869,0.718,0.921
lsh_one_rest,20,1,20,1,True,0.757,0.449,0.76
lsh_one_rest,20,1,20,5,True,0.815,0.5,0.772
lsh_one_rest,20,1,20,10,True,0.683,0.382,0.69
lsh_one_rest,10,2,5,1,True,0.744,0.417,0.609
lsh_one_rest,10,2,5,5,True,0.934,0.854,0.956
lsh_one_rest,10,2,5,10,True,0.931,0.802,0.892
lsh_one_rest,10,2,10,1,True,0.754,0.467,0.697
lsh_one_rest,10,2,10,5,True,0.764,0.442,0.756
lsh_one_rest,10,2,10,10,True,0.72,0.556,0.658
lsh_one_rest,10,2,20,1,True,0.643,0.361,0.616
lsh_one_rest,10,2,20,5,True,0.756,0.41,0.713
lsh_one_rest,10,2,20,10,True,0.718,0.356,0.68
lsh_one_rest,20,2,5,1,True,0.841,0.635,0.822
lsh_one_rest,20,2,5,5,True,0.93,0.8,0.903
lsh_one_rest,20,2,5,10,True,0.917,0.753,0.896
lsh_one_rest,20,2,10,1,True,0.702,0.458,0.693
lsh_one_rest,20,2,10,5,True,0.713,0.493,0.685
lsh_one_rest,20,2,10,10,True,0.734,0.391,0.742
lsh_one_rest,20,2,20,1,True,0.781,0.452,0.786
lsh_one_rest,20,2,20,5,True,0.75,0.366,0.735
lsh_one_rest,20,2,20,10,True,0.757,0.395,0.739
lsh_one_rest,10,5,5,1,True,0.727,0.531,0.866
lsh_one_rest,10,5,5,5,True,0.907,0.654,0.852
lsh_one_rest,10,5,5,10,True,0.962,0.866,0.937
lsh_one_rest,10,5,10,1,True,0.821,0.57,0.766
lsh_one_rest,10,5,10,5,True,0.82,0.564,0.808
lsh_one_rest,10,5,10,10,True,0.623,0.517,0.64
lsh_one_rest,10,5,20,1,True,0.688,0.371,0.651
lsh_one_rest,10,5,20,5,True,0.63,0.327,0.66
lsh_one_rest,10,5,20,10,True,0.644,0.28,0.621
lsh_one_rest,20,5,5,1,True,0.735,0.639,0.746
lsh_one_rest,20,5,5,5,True,0.856,0.8,0.85
lsh_one_rest,20,5,5,10,True,0.886,0.636,0.862
lsh_one_rest,20,5,10,1,True,0.807,0.456,0.712
lsh_one_rest,20,5,10,5,True,0.745,0.468,0.715
lsh_one_rest,20,5,10,10,True,0.731,0.327,0.666
lsh_one_rest,20,5,20,1,True,0.705,0.373,0.72
lsh_one_rest,20,5,20,5,True,0.633,0.351,0.351
lsh_one_rest,20,5,20,10,True,0.731,0.352,0.701
