method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,5,1,100,True,0.939,0.672,0.672
lsh_random,10,1,5,5,100,True,0.982,0.925,0.925
lsh_random,10,1,5,10,100,True,0.977,0.917,0.917
lsh_random,10,1,10,1,100,True,0.695,0.456,0.461
lsh_random,10,1,10,5,100,True,0.878,0.715,0.706
lsh_random,10,1,10,10,100,True,0.848,0.636,0.619
lsh_random,10,1,20,1,100,True,0.65,0.488,0.487
lsh_random,10,1,20,5,100,True,0.738,0.577,0.574
lsh_random,10,1,20,10,100,True,0.758,0.562,0.569
lsh_random,10,1,5,1,200,True,0.969,0.955,0.952
lsh_random,10,1,5,5,200,True,0.899,0.775,0.775
lsh_random,10,1,5,10,200,True,0.883,0.729,0.741
lsh_random,10,1,10,1,200,True,0.897,0.767,0.781
lsh_random,10,1,10,5,200,True,0.879,0.868,0.868
lsh_random,10,1,10,10,200,True,0.728,0.683,0.683
lsh_random,10,1,20,1,200,True,0.694,0.579,0.587
lsh_random,10,1,20,5,200,True,0.645,0.589,0.594
lsh_random,10,1,20,10,200,True,0.706,0.637,0.637
lsh_random,10,1,5,1,500,True,0.901,0.899,0.889
lsh_random,10,1,5,5,500,True,0.79,0.802,0.79
lsh_random,10,1,5,10,500,True,0.88,0.876,0.876
lsh_random,10,1,10,1,500,True,0.802,0.767,0.778
lsh_random,10,1,10,5,500,True,0.913,0.883,0.883
lsh_random,10,1,10,10,500,True,0.73,0.666,0.668
lsh_random,10,1,20,1,500,True,0.727,0.69,0.694
lsh_random,10,1,20,5,500,True,0.739,0.633,0.64
lsh_random,10,1,20,10,500,True,0.8,0.782,0.785
lsh_random,10,1,5,1,1000,True,0.919,0.897,0.897
lsh_random,10,1,5,5,1000,True,0.96,0.917,0.917
lsh_random,10,1,5,10,1000,True,0.745,0.763,0.763
lsh_random,10,1,10,1,1000,True,0.714,0.693,0.693
lsh_random,10,1,10,5,1000,True,0.788,0.774,0.774
lsh_random,10,1,10,10,1000,True,0.806,0.805,0.805
lsh_random,10,1,20,1,1000,True,0.728,0.739,0.741
lsh_random,10,1,20,5,1000,True,0.734,0.731,0.731
lsh_random,10,1,20,10,1000,True,0.645,0.598,0.597
lsh_random,20,1,5,1,100,True,0.921,0.793,0.758
lsh_random,20,1,5,5,100,True,0.888,0.727,0.778
lsh_random,20,1,5,10,100,True,0.708,0.561,0.588
lsh_random,20,1,10,1,100,True,0.797,0.77,0.766
lsh_random,20,1,10,5,100,True,0.868,0.741,0.759
lsh_random,20,1,10,10,100,True,0.751,0.565,0.586
lsh_random,20,1,20,1,100,True,0.71,0.552,0.55
lsh_random,20,1,20,5,100,True,0.735,0.553,0.543
lsh_random,20,1,20,10,100,True,0.728,0.552,0.56
lsh_random,20,1,5,1,200,True,0.88,0.826,0.866
lsh_random,20,1,5,5,200,True,0.906,0.889,0.889
lsh_random,20,1,5,10,200,True,0.859,0.837,0.836
lsh_random,20,1,10,1,200,True,0.801,0.711,0.712
lsh_random,20,1,10,5,200,True,0.776,0.677,0.677
lsh_random,20,1,10,10,200,True,0.822,0.788,0.789
lsh_random,20,1,20,1,200,True,0.665,0.586,0.578
lsh_random,20,1,20,5,200,True,0.652,0.599,0.621
lsh_random,20,1,20,10,200,True,0.821,0.727,0.723
lsh_random,20,1,5,1,500,True,0.932,0.885,0.885
