method,model_classes,model_supports,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,10,1,500,5,1,True,0.311,0.248,0.402
lsh_one_rest,10,1,500,5,5,True,0.502,0.491,0.551
lsh_one_rest,10,1,500,5,10,True,0.36,0.479,0.504
lsh_one_rest,10,1,500,10,1,True,0.387,0.269,0.332
lsh_one_rest,10,1,500,10,5,True,0.565,0.481,0.603
lsh_one_rest,10,1,500,10,10,True,0.403,0.322,0.514
lsh_one_rest,10,1,500,20,1,True,0.276,0.189,0.177
lsh_one_rest,10,1,500,20,5,True,0.36,0.293,0.348
lsh_one_rest,10,1,500,20,10,True,0.34,0.318,0.467
lsh_one_rest,10,1,1000,5,1,True,0.373,0.472,0.395
lsh_one_rest,10,1,1000,5,5,True,0.628,0.593,0.626
lsh_one_rest,10,1,1000,5,10,True,0.561,0.425,0.613
lsh_one_rest,10,1,1000,10,1,True,0.519,0.476,0.487
lsh_one_rest,10,1,1000,10,5,True,0.446,0.365,0.419
lsh_one_rest,10,1,1000,10,10,True,0.576,0.422,0.555
lsh_one_rest,10,1,1000,20,1,True,0.319,0.219,0.222
lsh_one_rest,10,1,1000,20,5,True,0.471,0.301,0.459
lsh_one_rest,10,1,1000,20,10,True,0.408,0.368,0.428
lsh_one_rest,10,1,100,5,1,True,0.485,0.256,0.294
lsh_one_rest,10,1,100,5,5,True,0.622,0.576,0.689
lsh_one_rest,10,1,100,5,10,True,0.643,0.62,0.663
lsh_one_rest,10,1,100,10,1,True,0.303,0.164,0.124
lsh_one_rest,10,1,100,10,5,True,0.473,0.347,0.436
lsh_one_rest,10,1,100,10,10,True,0.385,0.366,0.456
lsh_one_rest,10,1,100,20,1,True,0.345,0.07,0.057
lsh_one_rest,10,1,100,20,5,True,0.346,0.206,0.385
lsh_one_rest,10,1,100,20,10,True,0.298,0.212,0.32
lsh_one_rest,20,1,500,5,1,True,0.46,0.402,0.386
lsh_one_rest,20,1,500,5,5,True,0.601,0.484,0.455
lsh_one_rest,20,1,500,5,10,True,0.347,0.333,0.337
lsh_one_rest,20,1,500,10,1,True,0.62,0.415,0.422
lsh_one_rest,20,1,500,10,5,True,0.468,0.376,0.45
lsh_one_rest,20,1,500,10,10,True,0.404,0.408,0.369
lsh_one_rest,20,1,500,20,1,True,0.397,0.201,0.144
lsh_one_rest,20,1,500,20,5,True,0.329,0.228,0.388
lsh_one_rest,20,1,500,20,10,True,0.311,0.25,0.307
lsh_one_rest,20,1,100,5,1,True,0.626,0.194,0.211
lsh_one_rest,20,1,100,5,5,True,0.631,0.205,0.112
lsh_one_rest,20,1,100,5,10,True,0.47,0.278,0.575
lsh_one_rest,20,1,100,10,1,True,0.402,0.102,0.102
lsh_one_rest,20,1,100,10,5,True,0.505,0.104,0.018
lsh_one_rest,20,1,100,10,10,True,0.675,0.163,0.391
lsh_one_rest,20,1,100,20,1,True,0.24,0.049,0.049
lsh_one_rest,20,1,100,20,5,True,0.368,0.046,0.038
lsh_one_rest,20,1,100,20,10,True,0.355,0.129,0.109
lsh_one_rest,20,1,1000,5,1,True,0.595,0.328,0.303
lsh_one_rest,20,1,1000,5,5,True,0.649,0.535,0.601
lsh_one_rest,20,1,1000,5,10,True,0.45,0.41,0.474
lsh_one_rest,20,1,1000,10,1,True,0.609,0.309,0.309
lsh_one_rest,20,1,1000,10,5,True,0.517,0.454,0.574
lsh_one_rest,20,1,1000,10,10,True,0.489,0.371,0.475
lsh_one_rest,20,1,1000,20,1,True,0.43,0.129,0.104
lsh_one_rest,20,1,1000,20,5,True,0.414,0.323,0.485
lsh_one_rest,20,1,1000,20,10,True,0.445,0.365,0.45
lsh_one_rest,10,2,500,5,1,True,0.696,0.619,0.698
lsh_one_rest,10,2,500,5,5,True,0.492,0.402,0.47
