method,model_classes,model_supports,testing_classes,testing_supports,testing_planes,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,10,1,500,5,1,100,True,0.662,0.361,0.476
lsh_random,10,1,500,5,5,100,True,0.732,0.415,0.485
lsh_random,10,1,500,5,10,100,True,0.852,0.383,0.568
lsh_random,10,1,500,10,1,100,True,0.523,0.249,0.273
lsh_random,10,1,500,10,5,100,True,0.515,0.324,0.328
lsh_random,10,1,500,10,10,100,True,0.489,0.288,0.247
lsh_random,10,1,500,20,1,100,True,0.273,0.159,0.121
lsh_random,10,1,500,20,5,100,True,0.501,0.247,0.248
lsh_random,10,1,500,20,10,100,True,0.401,0.195,0.216
lsh_random,10,1,500,5,1,200,True,0.494,0.372,0.376
lsh_random,10,1,500,5,5,200,True,0.364,0.322,0.344
lsh_random,10,1,500,5,10,200,True,0.513,0.329,0.404
lsh_random,10,1,500,10,1,200,True,0.44,0.299,0.341
lsh_random,10,1,500,10,5,200,True,0.451,0.337,0.297
lsh_random,10,1,500,10,10,200,True,0.382,0.272,0.273
lsh_random,10,1,500,20,1,200,True,0.373,0.169,0.185
lsh_random,10,1,500,20,5,200,True,0.329,0.175,0.175
lsh_random,10,1,500,20,10,200,True,0.476,0.275,0.293
lsh_random,10,1,500,5,1,500,True,0.387,0.416,0.336
lsh_random,10,1,500,5,5,500,True,0.683,0.698,0.687
lsh_random,10,1,500,5,10,500,True,0.364,0.327,0.231
lsh_random,10,1,500,10,1,500,True,0.392,0.3,0.376
lsh_random,10,1,500,10,5,500,True,0.446,0.379,0.391
lsh_random,10,1,500,10,10,500,True,0.414,0.322,0.329
lsh_random,10,1,500,20,1,500,True,0.365,0.238,0.236
lsh_random,10,1,500,20,5,500,True,0.287,0.203,0.208
lsh_random,10,1,500,20,10,500,True,0.382,0.277,0.291
lsh_random,10,1,500,5,1,1000,True,0.604,0.629,0.633
lsh_random,10,1,500,5,5,1000,True,0.448,0.391,0.393
lsh_random,10,1,500,5,10,1000,True,0.762,0.716,0.675
lsh_random,10,1,500,10,1,1000,True,0.592,0.539,0.517
lsh_random,10,1,500,10,5,1000,True,0.408,0.335,0.354
lsh_random,10,1,500,10,10,1000,True,0.375,0.377,0.397
lsh_random,10,1,500,20,1,1000,True,0.355,0.325,0.329
lsh_random,10,1,500,20,5,1000,True,0.438,0.403,0.394
lsh_random,10,1,500,20,10,1000,True,0.329,0.245,0.253
lsh_random,10,1,1000,5,1,100,True,0.66,0.565,0.605
lsh_random,10,1,1000,5,5,100,True,0.781,0.598,0.643
lsh_random,10,1,1000,5,10,100,True,0.5,0.304,0.319
lsh_random,10,1,1000,10,1,100,True,0.446,0.332,0.303
lsh_random,10,1,1000,10,5,100,True,0.321,0.15,0.189
lsh_random,10,1,1000,10,10,100,True,0.452,0.36,0.354
lsh_random,10,1,1000,20,1,100,True,0.228,0.116,0.121
lsh_random,10,1,1000,20,5,100,True,0.495,0.243,0.288
lsh_random,10,1,1000,20,10,100,True,0.418,0.138,0.172
lsh_random,10,1,1000,5,1,200,True,0.594,0.528,0.502
lsh_random,10,1,1000,5,5,200,True,0.557,0.393,0.47
lsh_random,10,1,1000,5,10,200,True,0.747,0.609,0.62
lsh_random,10,1,1000,10,1,200,True,0.468,0.33,0.343
lsh_random,10,1,1000,10,5,200,True,0.549,0.3,0.285
lsh_random,10,1,1000,10,10,200,True,0.445,0.301,0.311
lsh_random,10,1,1000,20,1,200,True,0.424,0.191,0.19
lsh_random,10,1,1000,20,5,200,True,0.3,0.197,0.185
lsh_random,10,1,1000,20,10,200,True,0.295,0.171,0.164
lsh_random,10,1,1000,5,1,500,True,0.51,0.481,0.477
lsh_random,10,1,1000,5,5,500,True,0.527,0.561,0.541
lsh_random,10,1,1000,5,10,500,True,0.857,0.774,0.781
