method,iteration,nTrained,effectiveness,cosine acc,lsh acc
trained,100,1000,0.85,0.94,0.85
trained,100,2000,0.85,0.9,0.87
trained,100,5000,0.83,0.82,0.86
trained,100,10000,0.91,0.92,0.92
trained,100,20000,0.82,0.88,0.84
trained,100,50000,0.86,0.88,0.86
trained,100,55000,0.9,0.9,0.9
trained,200,1000,0.845,0.9,0.855
trained,200,2000,0.845,0.885,0.865
trained,200,5000,0.865,0.855,0.875
trained,200,10000,0.85,0.86,0.885
trained,200,20000,0.89,0.905,0.9
trained,200,50000,0.855,0.87,0.855
trained,200,55000,0.89,0.9,0.92
trained,500,1000,0.83,0.882,0.842
trained,500,2000,0.844,0.902,0.84
trained,500,5000,0.888,0.902,0.894
trained,500,10000,0.876,0.886,0.894
trained,500,20000,0.902,0.918,0.91
trained,500,50000,0.902,0.916,0.916
trained,500,55000,0.884,0.882,0.904
trained,1000,1000,0.835,0.893,0.825
trained,1000,2000,0.869,0.901,0.87
trained,1000,5000,0.884,0.902,0.899
trained,1000,10000,0.887,0.908,0.92
trained,1000,20000,0.879,0.897,0.89
trained,1000,50000,0.878,0.885,0.896
trained,1000,55000,0.876,0.891,0.895
trained,2000,1000,0.841,0.8935,0.8385
trained,2000,2000,0.8585,0.9015,0.869
trained,2000,5000,0.866,0.8905,0.8805
trained,2000,10000,0.8835,0.8885,0.906
trained,2000,20000,0.874,0.8915,0.9005
trained,2000,50000,0.8885,0.894,0.908
trained,2000,55000,0.886,0.891,0.9105
trained,5000,1000,0.8366,0.8912,0.8338
trained,5000,2000,0.862,0.8962,0.8684
trained,5000,5000,0.8756,0.8984,0.8804
trained,5000,10000,0.8804,0.8948,0.9002
trained,5000,20000,0.8838,0.8876,0.9018
trained,5000,50000,0.8852,0.8892,0.8976
trained,5000,55000,0.8776,0.8858,0.901
trained,10000,1000,0.8383,0.8903,0.8374
trained,10000,2000,0.8569,0.8975,0.8653
trained,10000,5000,0.8773,0.8968,0.8866
trained,10000,10000,0.8742,0.8885,0.8943
trained,10000,20000,0.8801,0.8939,0.8984
trained,10000,50000,0.8913,0.8964,0.9102
trained,10000,55000,0.8889,0.8924,0.9078
