method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,3,5,5,1,100,1000,True,0.206,0.2108,0.2108
lsh_random,True,True,3,3,5,5,1,200,1000,True,0.206,0.2174,0.2174
lsh_random,True,True,3,3,5,5,1,500,1000,True,0.206,0.217,0.217
lsh_random,True,True,3,3,5,5,1,600,1000,True,0.206,0.223,0.223
lsh_random,True,True,3,3,5,5,1,750,1000,True,0.206,0.2054,0.2054
lsh_random,True,True,3,3,5,5,1,1000,1000,True,0.206,0.181,0.181
lsh_random,True,True,3,3,5,5,1,1250,1000,True,0.206,0.2126,0.2126
lsh_random,True,True,3,3,5,5,1,1500,1000,True,0.206,0.2154,0.2154
lsh_random,True,True,3,3,5,5,1,1750,1000,True,0.206,0.1992,0.1992
lsh_random,True,True,3,3,5,5,1,2000,1000,True,0.206,0.2026,0.2026
lsh_random,True,True,3,3,5,5,2,100,1000,True,0.186,0.2316,0.2316
lsh_random,True,True,3,3,5,5,2,200,1000,True,0.186,0.2112,0.2112
lsh_random,True,True,3,3,5,5,2,500,1000,True,0.186,0.1906,0.1906
lsh_random,True,True,3,3,5,5,2,600,1000,True,0.186,0.191,0.191
lsh_random,True,True,3,3,5,5,2,750,1000,True,0.186,0.1996,0.1996
lsh_random,True,True,3,3,5,5,2,1000,1000,True,0.186,0.2046,0.2046
lsh_random,True,True,3,3,5,5,2,1250,1000,True,0.186,0.1766,0.1766
lsh_random,True,True,3,3,5,5,2,1500,1000,True,0.186,0.1792,0.1792
lsh_random,True,True,3,3,5,5,2,1750,1000,True,0.186,0.1962,0.1962
lsh_random,True,True,3,3,5,5,2,2000,1000,True,0.186,0.1736,0.1736
lsh_random,True,True,3,3,5,5,5,100,1000,True,0.188,0.1962,0.1962
lsh_random,True,True,3,3,5,5,5,200,1000,True,0.188,0.1838,0.1838
lsh_random,True,True,3,3,5,5,5,500,1000,True,0.188,0.1684,0.1684
lsh_random,True,True,3,3,5,5,5,600,1000,True,0.188,0.186,0.186
lsh_random,True,True,3,3,5,5,5,750,1000,True,0.188,0.1828,0.1828
lsh_random,True,True,3,3,5,5,5,1000,1000,True,0.188,0.1922,0.1922
lsh_random,True,True,3,3,5,5,5,1250,1000,True,0.188,0.1906,0.1906
lsh_random,True,True,3,3,5,5,5,1500,1000,True,0.188,0.1876,0.1876
lsh_random,True,True,3,3,5,5,5,1750,1000,True,0.188,0.1894,0.1894
lsh_random,True,True,3,3,5,5,5,2000,1000,True,0.188,0.1934,0.1934
lsh_random,True,True,3,3,5,5,10,100,1000,True,0.197,0.2072,0.2072
lsh_random,True,True,3,3,5,5,10,200,1000,True,0.197,0.199,0.199
lsh_random,True,True,3,3,5,5,10,500,1000,True,0.197,0.1862,0.1862
lsh_random,True,True,3,3,5,5,10,600,1000,True,0.197,0.1996,0.1996
lsh_random,True,True,3,3,5,5,10,750,1000,True,0.197,0.2064,0.2064
lsh_random,True,True,3,3,5,5,10,1000,1000,True,0.197,0.214,0.214
lsh_random,True,True,3,3,5,5,10,1250,1000,True,0.197,0.208,0.208
lsh_random,True,True,3,3,5,5,10,1500,1000,True,0.197,0.198,0.198
lsh_random,True,True,3,3,5,5,10,1750,1000,True,0.197,0.2028,0.2028
lsh_random,True,True,3,3,5,5,10,2000,1000,True,0.197,0.1962,0.1962
