method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,3,5,5,10,100,1000,True,0.197,0.2072,0.2072
lsh_random,True,True,3,3,5,5,10,200,1000,True,0.197,0.199,0.199
lsh_random,True,True,3,3,5,5,10,500,1000,True,0.197,0.1862,0.1862
lsh_random,True,True,3,3,5,5,10,600,1000,True,0.197,0.1996,0.1996
lsh_random,True,True,3,3,5,5,10,750,1000,True,0.197,0.2064,0.2064
lsh_random,True,True,3,3,5,5,10,1000,1000,True,0.197,0.214,0.214
lsh_random,True,True,3,3,5,5,10,1250,1000,True,0.197,0.208,0.208
lsh_random,True,True,3,3,5,5,10,1500,1000,True,0.197,0.198,0.198
lsh_random,True,True,3,3,5,5,10,1750,1000,True,0.197,0.2028,0.2028
lsh_random,True,True,3,3,5,5,10,2000,1000,True,0.197,0.1962,0.1962
