method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,100,1000,True,0.4752,0.3754,0.3754
lsh_random,True,True,3,20,5,5,1,200,1000,True,0.4752,0.3506,0.3506
lsh_random,True,True,3,20,5,5,1,500,1000,True,0.4752,0.4086,0.4086
lsh_random,True,True,3,20,5,5,1,600,1000,True,0.4752,0.42,0.42
lsh_random,True,True,3,20,5,5,1,750,1000,True,0.4752,0.4096,0.4096
lsh_random,True,True,3,20,5,5,1,1000,1000,True,0.4752,0.4472,0.4472
lsh_random,True,True,3,20,5,5,1,1250,1000,True,0.4752,0.4396,0.4396
lsh_random,True,True,3,20,5,5,1,1500,1000,True,0.4752,0.4042,0.4042
lsh_random,True,True,3,20,5,5,1,1750,1000,True,0.4752,0.4168,0.4168
lsh_random,True,True,3,20,5,5,1,2000,1000,True,0.4752,0.446,0.446
lsh_random,True,True,3,20,5,5,2,100,1000,True,0.337,0.2438,0.2438
lsh_random,True,True,3,20,5,5,2,200,1000,True,0.337,0.2672,0.2672
lsh_random,True,True,3,20,5,5,2,500,1000,True,0.337,0.331,0.331
lsh_random,True,True,3,20,5,5,2,600,1000,True,0.337,0.3084,0.3084
lsh_random,True,True,3,20,5,5,2,750,1000,True,0.337,0.338,0.338
lsh_random,True,True,3,20,5,5,2,1000,1000,True,0.337,0.37,0.37
lsh_random,True,True,3,20,5,5,2,1250,1000,True,0.337,0.3534,0.3534
lsh_random,True,True,3,20,5,5,2,1500,1000,True,0.337,0.3766,0.3766
lsh_random,True,True,3,20,5,5,2,1750,1000,True,0.337,0.2968,0.2968
lsh_random,True,True,3,20,5,5,2,2000,1000,True,0.337,0.3378,0.3378
lsh_random,True,True,3,20,5,5,5,100,1000,True,0.5276,0.3862,0.3862
lsh_random,True,True,3,20,5,5,5,200,1000,True,0.5276,0.4252,0.4252
lsh_random,True,True,3,20,5,5,5,500,1000,True,0.5276,0.5058,0.5058
lsh_random,True,True,3,20,5,5,5,600,1000,True,0.5276,0.4266,0.4266
lsh_random,True,True,3,20,5,5,5,750,1000,True,0.5276,0.3994,0.3994
lsh_random,True,True,3,20,5,5,5,1000,1000,True,0.5276,0.4564,0.4564
lsh_random,True,True,3,20,5,5,5,1250,1000,True,0.5276,0.4862,0.4862
lsh_random,True,True,3,20,5,5,5,1500,1000,True,0.5276,0.4494,0.4494
lsh_random,True,True,3,20,5,5,5,1750,1000,True,0.5276,0.4942,0.4942
lsh_random,True,True,3,20,5,5,5,2000,1000,True,0.5276,0.4976,0.4976
lsh_random,True,True,3,20,5,5,10,100,1000,True,0.5734,0.3704,0.3704
lsh_random,True,True,3,20,5,5,10,200,1000,True,0.5734,0.4294,0.4294
lsh_random,True,True,3,20,5,5,10,500,1000,True,0.5734,0.5136,0.5136
lsh_random,True,True,3,20,5,5,10,600,1000,True,0.5734,0.5248,0.5248
lsh_random,True,True,3,20,5,5,10,750,1000,True,0.5734,0.5156,0.5156
lsh_random,True,True,3,20,5,5,10,1000,1000,True,0.5734,0.561,0.561
lsh_random,True,True,3,20,5,5,10,1250,1000,True,0.5734,0.5604,0.5604
lsh_random,True,True,3,20,5,5,10,1500,1000,True,0.5734,0.5268,0.5268
lsh_random,True,True,3,20,5,5,10,1750,1000,True,0.5734,0.5636,0.5636
lsh_random,True,True,3,20,5,5,10,2000,1000,True,0.5734,0.5258,0.5258
lsh_random,True,True,3,20,5,10,1,100,1000,True,0.2256,0.1432,0.1432
lsh_random,True,True,3,20,5,10,1,200,1000,True,0.2256,0.1182,0.1182
lsh_random,True,True,3,20,5,10,1,500,1000,True,0.2256,0.1548,0.1548
lsh_random,True,True,3,20,5,10,1,600,1000,True,0.2256,0.1824,0.1824
lsh_random,True,True,3,20,5,10,1,750,1000,True,0.2256,0.1794,0.1794
lsh_random,True,True,3,20,5,10,1,1000,1000,True,0.2256,0.215,0.215
lsh_random,True,True,3,20,5,10,1,1250,1000,True,0.2256,0.212,0.212
lsh_random,True,True,3,20,5,10,1,1500,1000,True,0.2256,0.2264,0.2264
lsh_random,True,True,3,20,5,10,1,1750,1000,True,0.2256,0.2034,0.2034
lsh_random,True,True,3,20,5,10,1,2000,1000,True,0.2256,0.2214,0.2214
lsh_random,True,True,3,20,5,10,2,100,1000,True,0.2774,0.1728,0.1728
lsh_random,True,True,3,20,5,10,2,200,1000,True,0.2774,0.23,0.23
lsh_random,True,True,3,20,5,10,2,500,1000,True,0.2774,0.271,0.271
lsh_random,True,True,3,20,5,10,2,600,1000,True,0.2774,0.2392,0.2392
lsh_random,True,True,3,20,5,10,2,750,1000,True,0.2774,0.2678,0.2678
lsh_random,True,True,3,20,5,10,2,1000,1000,True,0.2774,0.242,0.242
lsh_random,True,True,3,20,5,10,2,1250,1000,True,0.2774,0.2492,0.2492
lsh_random,True,True,3,20,5,10,2,1500,1000,True,0.2774,0.2766,0.2766
lsh_random,True,True,3,20,5,10,2,1750,1000,True,0.2774,0.259,0.259
lsh_random,True,True,3,20,5,10,2,2000,1000,True,0.2774,0.268,0.268
lsh_random,True,True,3,20,5,10,5,100,1000,True,0.3642,0.2322,0.2322
lsh_random,True,True,3,20,5,10,5,200,1000,True,0.3642,0.277,0.277
lsh_random,True,True,3,20,5,10,5,500,1000,True,0.3642,0.3216,0.3216
lsh_random,True,True,3,20,5,10,5,600,1000,True,0.3642,0.3158,0.3158
lsh_random,True,True,3,20,5,10,5,750,1000,True,0.3642,0.281,0.281
lsh_random,True,True,3,20,5,10,5,1000,1000,True,0.3642,0.3344,0.3344
lsh_random,True,True,3,20,5,10,5,1250,1000,True,0.3642,0.332,0.332
lsh_random,True,True,3,20,5,10,5,1500,1000,True,0.3642,0.3418,0.3418
lsh_random,True,True,3,20,5,10,5,1750,1000,True,0.3642,0.3398,0.3398
lsh_random,True,True,3,20,5,10,5,2000,1000,True,0.3642,0.3474,0.3474
lsh_random,True,True,3,20,5,10,10,100,1000,True,0.4184,0.2642,0.2642
lsh_random,True,True,3,20,5,10,10,200,1000,True,0.4184,0.272,0.272
lsh_random,True,True,3,20,5,10,10,500,1000,True,0.4184,0.387,0.387
lsh_random,True,True,3,20,5,10,10,600,1000,True,0.4184,0.363,0.363
lsh_random,True,True,3,20,5,10,10,750,1000,True,0.4184,0.3632,0.3632
lsh_random,True,True,3,20,5,10,10,1000,1000,True,0.4184,0.3526,0.3526
lsh_random,True,True,3,20,5,10,10,1250,1000,True,0.4184,0.3958,0.3958
lsh_random,True,True,3,20,5,10,10,1500,1000,True,0.4184,0.3894,0.3894
lsh_random,True,True,3,20,5,10,10,1750,1000,True,0.4184,0.3844,0.3844
lsh_random,True,True,3,20,5,10,10,2000,1000,True,0.4184,0.4144,0.4144
lsh_random,True,True,3,20,5,20,1,100,1000,True,0.1756,0.116,0.116
lsh_random,True,True,3,20,5,20,1,200,1000,True,0.1756,0.116,0.116
lsh_random,True,True,3,20,5,20,1,500,1000,True,0.1756,0.1538,0.1538
lsh_random,True,True,3,20,5,20,1,600,1000,True,0.1756,0.1514,0.1514
lsh_random,True,True,3,20,5,20,1,750,1000,True,0.1756,0.128,0.128
lsh_random,True,True,3,20,5,20,1,1000,1000,True,0.1756,0.1568,0.1568
lsh_random,True,True,3,20,5,20,1,1250,1000,True,0.1756,0.1564,0.1564
lsh_random,True,True,3,20,5,20,1,1500,1000,True,0.1756,0.1474,0.1474
lsh_random,True,True,3,20,5,20,1,1750,1000,True,0.1756,0.165,0.165
lsh_random,True,True,3,20,5,20,1,2000,1000,True,0.1756,0.1562,0.1562
lsh_random,True,True,3,20,5,20,2,100,1000,True,0.2342,0.1364,0.1364
lsh_random,True,True,3,20,5,20,2,200,1000,True,0.2342,0.1608,0.1608
lsh_random,True,True,3,20,5,20,2,500,1000,True,0.2342,0.2124,0.2124
lsh_random,True,True,3,20,5,20,2,600,1000,True,0.2342,0.1772,0.1772
lsh_random,True,True,3,20,5,20,2,750,1000,True,0.2342,0.2122,0.2122
lsh_random,True,True,3,20,5,20,2,1000,1000,True,0.2342,0.225,0.225
lsh_random,True,True,3,20,5,20,2,1250,1000,True,0.2342,0.2136,0.2136
lsh_random,True,True,3,20,5,20,2,1500,1000,True,0.2342,0.2116,0.2116
lsh_random,True,True,3,20,5,20,2,1750,1000,True,0.2342,0.2096,0.2096
lsh_random,True,True,3,20,5,20,2,2000,1000,True,0.2342,0.209,0.209
lsh_random,True,True,3,20,5,20,5,100,1000,True,0.2404,0.1408,0.1408
lsh_random,True,True,3,20,5,20,5,200,1000,True,0.2404,0.1478,0.1478
lsh_random,True,True,3,20,5,20,5,500,1000,True,0.2404,0.1854,0.1854
lsh_random,True,True,3,20,5,20,5,600,1000,True,0.2404,0.2056,0.2056
lsh_random,True,True,3,20,5,20,5,750,1000,True,0.2404,0.199,0.199
lsh_random,True,True,3,20,5,20,5,1000,1000,True,0.2404,0.2324,0.2324
lsh_random,True,True,3,20,5,20,5,1250,1000,True,0.2404,0.2188,0.2188
lsh_random,True,True,3,20,5,20,5,1500,1000,True,0.2404,0.21,0.21
lsh_random,True,True,3,20,5,20,5,1750,1000,True,0.2404,0.2064,0.2064
lsh_random,True,True,3,20,5,20,5,2000,1000,True,0.2404,0.2226,0.2226
lsh_random,True,True,3,20,5,20,10,100,1000,True,0.2678,0.1392,0.1392
lsh_random,True,True,3,20,5,20,10,200,1000,True,0.2678,0.1554,0.1554
lsh_random,True,True,3,20,5,20,10,500,1000,True,0.2678,0.2272,0.2272
lsh_random,True,True,3,20,5,20,10,600,1000,True,0.2678,0.2296,0.2296
lsh_random,True,True,3,20,5,20,10,750,1000,True,0.2678,0.242,0.242
lsh_random,True,True,3,20,5,20,10,1000,1000,True,0.2678,0.2488,0.2488
lsh_random,True,True,3,20,5,20,10,1250,1000,True,0.2678,0.2632,0.2632
lsh_random,True,True,3,20,5,20,10,1500,1000,True,0.2678,0.262,0.262
lsh_random,True,True,3,20,5,20,10,1750,1000,True,0.2678,0.243,0.243
lsh_random,True,True,3,20,5,20,10,2000,1000,True,0.2678,0.2546,0.2546
