method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,500,1000,True,0.4752,0.4086,0.4086
lsh_random,True,True,3,20,5,10,1,500,1000,True,0.2256,0.1548,0.1548
lsh_random,True,True,3,20,5,20,1,500,1000,True,0.1756,0.1538,0.1538
lsh_random,True,True,3,20,5,5,2,500,1000,True,0.337,0.331,0.331
lsh_random,True,True,3,20,5,10,2,500,1000,True,0.2774,0.271,0.271
lsh_random,True,True,3,20,5,20,2,500,1000,True,0.2342,0.2124,0.2124
lsh_random,True,True,3,20,5,5,5,500,1000,True,0.5276,0.5058,0.5058
lsh_random,True,True,3,20,5,10,5,500,1000,True,0.3642,0.3216,0.3216
lsh_random,True,True,3,20,5,20,5,500,1000,True,0.2404,0.1854,0.1854
lsh_random,True,True,3,20,5,5,10,500,1000,True,0.5734,0.5136,0.5136
lsh_random,True,True,3,20,5,10,10,500,1000,True,0.4184,0.387,0.387
lsh_random,True,True,3,20,5,20,10,500,1000,True,0.2678,0.2272,0.2272
