method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,10,100,1000,True,0.5734,0.3704,0.3704
lsh_random,True,True,3,20,5,10,10,100,1000,True,0.4184,0.2642,0.2642
lsh_random,True,True,3,20,5,20,10,100,1000,True,0.2678,0.1392,0.1392
lsh_random,True,True,3,20,5,5,10,200,1000,True,0.5734,0.4294,0.4294
lsh_random,True,True,3,20,5,10,10,200,1000,True,0.4184,0.272,0.272
lsh_random,True,True,3,20,5,20,10,200,1000,True,0.2678,0.1554,0.1554
lsh_random,True,True,3,20,5,5,10,500,1000,True,0.5734,0.5136,0.5136
lsh_random,True,True,3,20,5,10,10,500,1000,True,0.4184,0.387,0.387
lsh_random,True,True,3,20,5,20,10,500,1000,True,0.2678,0.2272,0.2272
lsh_random,True,True,3,20,5,5,10,600,1000,True,0.5734,0.5248,0.5248
lsh_random,True,True,3,20,5,10,10,600,1000,True,0.4184,0.363,0.363
lsh_random,True,True,3,20,5,20,10,600,1000,True,0.2678,0.2296,0.2296
lsh_random,True,True,3,20,5,5,10,750,1000,True,0.5734,0.5156,0.5156
lsh_random,True,True,3,20,5,10,10,750,1000,True,0.4184,0.3632,0.3632
lsh_random,True,True,3,20,5,20,10,750,1000,True,0.2678,0.242,0.242
lsh_random,True,True,3,20,5,5,10,1000,1000,True,0.5734,0.561,0.561
lsh_random,True,True,3,20,5,10,10,1000,1000,True,0.4184,0.3526,0.3526
lsh_random,True,True,3,20,5,20,10,1000,1000,True,0.2678,0.2488,0.2488
lsh_random,True,True,3,20,5,5,10,1250,1000,True,0.5734,0.5604,0.5604
lsh_random,True,True,3,20,5,10,10,1250,1000,True,0.4184,0.3958,0.3958
lsh_random,True,True,3,20,5,20,10,1250,1000,True,0.2678,0.2632,0.2632
lsh_random,True,True,3,20,5,5,10,1500,1000,True,0.5734,0.5268,0.5268
lsh_random,True,True,3,20,5,10,10,1500,1000,True,0.4184,0.3894,0.3894
lsh_random,True,True,3,20,5,20,10,1500,1000,True,0.2678,0.262,0.262
lsh_random,True,True,3,20,5,5,10,1750,1000,True,0.5734,0.5636,0.5636
lsh_random,True,True,3,20,5,10,10,1750,1000,True,0.4184,0.3844,0.3844
lsh_random,True,True,3,20,5,20,10,1750,1000,True,0.2678,0.243,0.243
lsh_random,True,True,3,20,5,5,10,2000,1000,True,0.5734,0.5258,0.5258
lsh_random,True,True,3,20,5,10,10,2000,1000,True,0.4184,0.4144,0.4144
lsh_random,True,True,3,20,5,20,10,2000,1000,True,0.2678,0.2546,0.2546
