method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,5,5,5,1,100,1000,True,0.8332,0.703,0.7038
lsh_random,True,True,3,5,5,5,1,200,1000,True,0.8332,0.7148,0.7156
lsh_random,True,True,3,5,5,5,1,500,1000,True,0.8332,0.7958,0.7964
lsh_random,True,True,3,5,5,5,1,600,1000,True,0.8332,0.7466,0.7474
lsh_random,True,True,3,5,5,5,1,750,1000,True,0.8332,0.818,0.8188
lsh_random,True,True,3,5,5,5,1,1000,1000,True,0.8332,0.8152,0.816
lsh_random,True,True,3,5,5,5,1,1250,1000,True,0.8332,0.821,0.8218
lsh_random,True,True,3,5,5,5,1,1500,1000,True,0.8332,0.785,0.785
lsh_random,True,True,3,5,5,5,1,1750,1000,True,0.8332,0.7924,0.793
lsh_random,True,True,3,5,5,5,1,2000,1000,True,0.8332,0.8506,0.8514
lsh_random,True,True,3,5,5,5,2,100,1000,True,0.8482,0.6264,0.6276
lsh_random,True,True,3,5,5,5,2,200,1000,True,0.8482,0.742,0.742
lsh_random,True,True,3,5,5,5,2,500,1000,True,0.8482,0.853,0.8542
lsh_random,True,True,3,5,5,5,2,600,1000,True,0.8482,0.807,0.8082
lsh_random,True,True,3,5,5,5,2,750,1000,True,0.8482,0.8036,0.8048
lsh_random,True,True,3,5,5,5,2,1000,1000,True,0.8482,0.8018,0.803
lsh_random,True,True,3,5,5,5,2,1250,1000,True,0.8482,0.8054,0.8054
lsh_random,True,True,3,5,5,5,2,1500,1000,True,0.8482,0.8114,0.8126
lsh_random,True,True,3,5,5,5,2,1750,1000,True,0.8482,0.8326,0.8336
lsh_random,True,True,3,5,5,5,2,2000,1000,True,0.8482,0.8454,0.8466
lsh_random,True,True,3,5,5,5,5,100,1000,True,0.9044,0.6436,0.645
lsh_random,True,True,3,5,5,5,5,200,1000,True,0.9044,0.8198,0.8212
lsh_random,True,True,3,5,5,5,5,500,1000,True,0.9044,0.832,0.832
lsh_random,True,True,3,5,5,5,5,600,1000,True,0.9044,0.8772,0.8784
lsh_random,True,True,3,5,5,5,5,750,1000,True,0.9044,0.8684,0.8684
lsh_random,True,True,3,5,5,5,5,1000,1000,True,0.9044,0.8976,0.899
lsh_random,True,True,3,5,5,5,5,1250,1000,True,0.9044,0.8846,0.886
lsh_random,True,True,3,5,5,5,5,1500,1000,True,0.9044,0.88,0.8814
lsh_random,True,True,3,5,5,5,5,1750,1000,True,0.9044,0.8768,0.8782
lsh_random,True,True,3,5,5,5,5,2000,1000,True,0.9044,0.896,0.8972
lsh_random,True,True,3,5,5,5,10,100,1000,True,0.922,0.8022,0.8022
lsh_random,True,True,3,5,5,5,10,200,1000,True,0.922,0.8556,0.857
lsh_random,True,True,3,5,5,5,10,500,1000,True,0.922,0.8996,0.901
lsh_random,True,True,3,5,5,5,10,600,1000,True,0.922,0.912,0.9134
lsh_random,True,True,3,5,5,5,10,750,1000,True,0.922,0.9136,0.9136
lsh_random,True,True,3,5,5,5,10,1000,1000,True,0.922,0.92,0.9214
lsh_random,True,True,3,5,5,5,10,1250,1000,True,0.922,0.9138,0.9152
lsh_random,True,True,3,5,5,5,10,1500,1000,True,0.922,0.913,0.9144
lsh_random,True,True,3,5,5,5,10,1750,1000,True,0.922,0.919,0.919
lsh_random,True,True,3,5,5,5,10,2000,1000,True,0.922,0.9158,0.9158
