method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,5,5,5,1,100,1000,True,0.8332,0.703,0.7038
lsh_random,True,True,3,5,5,5,1,200,1000,True,0.8332,0.7148,0.7156
lsh_random,True,True,3,5,5,5,1,500,1000,True,0.8332,0.7958,0.7964
lsh_random,True,True,3,5,5,5,1,600,1000,True,0.8332,0.7466,0.7474
lsh_random,True,True,3,5,5,5,1,750,1000,True,0.8332,0.818,0.8188
lsh_random,True,True,3,5,5,5,1,1000,1000,True,0.8332,0.8152,0.816
lsh_random,True,True,3,5,5,5,1,1250,1000,True,0.8332,0.821,0.8218
lsh_random,True,True,3,5,5,5,1,1500,1000,True,0.8332,0.785,0.785
lsh_random,True,True,3,5,5,5,1,1750,1000,True,0.8332,0.7924,0.793
lsh_random,True,True,3,5,5,5,1,2000,1000,True,0.8332,0.8506,0.8514
