method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,3,20,5,5,1,1000,True,0.8516,0.6852,0.8322
lsh_one_rest,True,True,3,20,5,5,2,1000,True,0.893,0.5694,0.7996
lsh_one_rest,True,True,3,20,5,5,5,1000,True,0.8188,0.6256,0.7924
lsh_one_rest,True,True,3,20,5,5,10,1000,True,0.8884,0.692,0.886
lsh_one_rest,True,True,3,20,5,10,1,1000,True,0.948,0.5728,0.8518
lsh_one_rest,True,True,3,20,5,10,2,1000,True,0.9084,0.57,0.8508
lsh_one_rest,True,True,3,20,5,10,5,1000,True,0.9168,0.5584,0.7868
lsh_one_rest,True,True,3,20,5,10,10,1000,True,0.936,0.5702,0.8378
lsh_one_rest,True,True,3,20,5,20,1,1000,True,0.8272,0.5062,0.6978
lsh_one_rest,True,True,3,20,5,20,2,1000,True,0.8898,0.5908,0.8184
lsh_one_rest,True,True,3,20,5,20,5,1000,True,0.8244,0.4936,0.747
lsh_one_rest,True,True,3,20,5,20,10,1000,True,0.8598,0.5336,0.7646
lsh_one_rest,True,True,3,20,5,50,1,1000,True,0.6904,0.3012,0.4764
lsh_one_rest,True,True,3,20,5,50,2,1000,True,0.7954,0.3252,0.5524
lsh_one_rest,True,True,3,20,5,50,5,1000,True,0.7062,0.2776,0.4878
lsh_one_rest,True,True,3,20,5,50,10,1000,True,0.7712,0.3542,0.538
lsh_one_rest,True,True,3,20,5,100,1,1000,True,0.704,0.2126,0.4196
lsh_one_rest,True,True,3,20,5,100,2,1000,True,0.6304,0.2086,0.376
lsh_one_rest,True,True,3,20,5,100,5,1000,True,0.6664,0.2528,0.4096
lsh_one_rest,True,True,3,20,5,100,10,1000,True,0.6708,0.2068,0.3962
lsh_one_rest,True,True,3,20,5,200,1,1000,True,0.6012,0.1422,0.3068
lsh_one_rest,True,True,3,20,5,200,2,1000,True,0.615,0.1726,0.1726
lsh_one_rest,True,True,3,20,5,200,5,1000,True,0.6142,0.1776,0.3276
lsh_one_rest,True,True,3,20,5,200,10,1000,True,0.631,0.1666,0.1666
lsh_one_rest,True,True,3,20,5,500,1,1000,True,0.4778,0.0894,0.1946
lsh_one_rest,True,True,3,20,5,500,2,1000,True,0.469,0.089,0.1864
lsh_one_rest,True,True,3,20,5,500,5,1000,True,0.4754,0.0874,0.1852
lsh_one_rest,True,True,3,20,5,500,10,1000,True,0.4926,0.0908,0.2058
