method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,100,1000,True,0.8516,0.6656,0.6656
lsh_random,True,True,3,20,5,5,1,200,1000,True,0.8516,0.754,0.754
lsh_random,True,True,3,20,5,5,1,500,1000,True,0.8516,0.823,0.823
lsh_random,True,True,3,20,5,5,1,600,1000,True,0.8516,0.7574,0.7574
lsh_random,True,True,3,20,5,5,1,750,1000,True,0.8516,0.867,0.867
lsh_random,True,True,3,20,5,5,1,1000,1000,True,0.8516,0.8428,0.8428
lsh_random,True,True,3,20,5,5,1,1250,1000,True,0.8516,0.8418,0.8418
lsh_random,True,True,3,20,5,5,1,1500,1000,True,0.8516,0.8162,0.8162
lsh_random,True,True,3,20,5,5,1,1750,1000,True,0.8516,0.8198,0.8198
lsh_random,True,True,3,20,5,5,1,2000,1000,True,0.8516,0.8468,0.8468
lsh_random,True,True,3,20,5,5,2,100,1000,True,0.893,0.737,0.737
lsh_random,True,True,3,20,5,5,2,200,1000,True,0.893,0.7938,0.7938
lsh_random,True,True,3,20,5,5,2,500,1000,True,0.893,0.8974,0.8974
lsh_random,True,True,3,20,5,5,2,600,1000,True,0.893,0.817,0.817
lsh_random,True,True,3,20,5,5,2,750,1000,True,0.893,0.845,0.845
lsh_random,True,True,3,20,5,5,2,1000,1000,True,0.893,0.8696,0.8696
lsh_random,True,True,3,20,5,5,2,1250,1000,True,0.893,0.8436,0.8436
lsh_random,True,True,3,20,5,5,2,1500,1000,True,0.893,0.9226,0.9226
lsh_random,True,True,3,20,5,5,2,1750,1000,True,0.893,0.873,0.873
lsh_random,True,True,3,20,5,5,2,2000,1000,True,0.893,0.8418,0.8418
lsh_random,True,True,3,20,5,5,5,100,1000,True,0.8188,0.6218,0.6218
lsh_random,True,True,3,20,5,5,5,200,1000,True,0.8188,0.576,0.576
lsh_random,True,True,3,20,5,5,5,500,1000,True,0.8188,0.7832,0.7832
lsh_random,True,True,3,20,5,5,5,600,1000,True,0.8188,0.7696,0.7696
lsh_random,True,True,3,20,5,5,5,750,1000,True,0.8188,0.8898,0.8898
lsh_random,True,True,3,20,5,5,5,1000,1000,True,0.8188,0.897,0.897
lsh_random,True,True,3,20,5,5,5,1250,1000,True,0.8188,0.855,0.855
lsh_random,True,True,3,20,5,5,5,1500,1000,True,0.8188,0.8284,0.8284
lsh_random,True,True,3,20,5,5,5,1750,1000,True,0.8188,0.9202,0.9202
lsh_random,True,True,3,20,5,5,5,2000,1000,True,0.8188,0.827,0.827
lsh_random,True,True,3,20,5,5,10,100,1000,True,0.8884,0.9286,0.9286
lsh_random,True,True,3,20,5,5,10,200,1000,True,0.8884,0.7842,0.7842
lsh_random,True,True,3,20,5,5,10,500,1000,True,0.8884,0.9222,0.9222
lsh_random,True,True,3,20,5,5,10,600,1000,True,0.8884,0.8676,0.8676
lsh_random,True,True,3,20,5,5,10,750,1000,True,0.8884,0.8144,0.8144
lsh_random,True,True,3,20,5,5,10,1000,1000,True,0.8884,0.8794,0.8794
lsh_random,True,True,3,20,5,5,10,1250,1000,True,0.8884,0.9094,0.9094
lsh_random,True,True,3,20,5,5,10,1500,1000,True,0.8884,0.8414,0.8414
