method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,600,1000,True,0.8516,0.7574,0.7574
lsh_random,True,True,3,20,5,10,1,600,1000,True,0.948,0.8954,0.8954
lsh_random,True,True,3,20,5,20,1,600,1000,True,0.8272,0.7538,0.7538
lsh_random,True,True,3,20,5,50,1,600,1000,True,0.6904,0.629,0.629
lsh_random,True,True,3,20,5,100,1,600,1000,True,0.704,0.6198,0.6198
lsh_random,True,True,3,20,5,200,1,600,1000,True,0.6012,0.5266,0.5266
lsh_random,True,True,3,20,5,500,1,600,1000,True,0.4778,0.4058,0.4058
lsh_random,True,True,3,20,5,5,2,600,1000,True,0.893,0.817,0.817
lsh_random,True,True,3,20,5,10,2,600,1000,True,0.9084,0.866,0.866
lsh_random,True,True,3,20,5,20,2,600,1000,True,0.8898,0.8276,0.8276
lsh_random,True,True,3,20,5,50,2,600,1000,True,0.7954,0.7294,0.7294
lsh_random,True,True,3,20,5,100,2,600,1000,True,0.6304,0.5522,0.5522
lsh_random,True,True,3,20,5,200,2,600,1000,True,0.615,0.547,0.547
lsh_random,True,True,3,20,5,500,2,600,1000,True,0.469,0.3976,0.3976
lsh_random,True,True,3,20,5,5,5,600,1000,True,0.8188,0.7696,0.7696
lsh_random,True,True,3,20,5,10,5,600,1000,True,0.9168,0.8816,0.8816
lsh_random,True,True,3,20,5,20,5,600,1000,True,0.8244,0.7808,0.7808
lsh_random,True,True,3,20,5,50,5,600,1000,True,0.7062,0.6544,0.6544
lsh_random,True,True,3,20,5,100,5,600,1000,True,0.6664,0.6276,0.6276
lsh_random,True,True,3,20,5,200,5,600,1000,True,0.6142,0.5286,0.5286
lsh_random,True,True,3,20,5,500,5,600,1000,True,0.4754,0.3886,0.3886
lsh_random,True,True,3,20,5,5,10,600,1000,True,0.8884,0.8676,0.8676
lsh_random,True,True,3,20,5,10,10,600,1000,True,0.936,0.89,0.89
lsh_random,True,True,3,20,5,20,10,600,1000,True,0.8598,0.841,0.841
lsh_random,True,True,3,20,5,50,10,600,1000,True,0.7712,0.6962,0.6962
lsh_random,True,True,3,20,5,100,10,600,1000,True,0.6708,0.6092,0.6092
lsh_random,True,True,3,20,5,200,10,600,1000,True,0.631,0.553,0.553
lsh_random,True,True,3,20,5,500,10,600,1000,True,0.4926,0.4064,0.4064
