method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,2,100,1000,True,0.893,0.737,0.737
lsh_random,True,True,3,20,5,10,2,100,1000,True,0.9084,0.706,0.706
lsh_random,True,True,3,20,5,20,2,100,1000,True,0.8898,0.6818,0.6818
lsh_random,True,True,3,20,5,50,2,100,1000,True,0.7954,0.4798,0.4798
lsh_random,True,True,3,20,5,100,2,100,1000,True,0.6304,0.3504,0.3504
lsh_random,True,True,3,20,5,200,2,100,1000,True,0.615,0.308,0.308
lsh_random,True,True,3,20,5,500,2,100,1000,True,0.469,0.1924,0.1924
lsh_random,True,True,3,20,5,5,2,200,1000,True,0.893,0.7938,0.7938
lsh_random,True,True,3,20,5,10,2,200,1000,True,0.9084,0.845,0.845
lsh_random,True,True,3,20,5,20,2,200,1000,True,0.8898,0.7336,0.7334
lsh_random,True,True,3,20,5,50,2,200,1000,True,0.7954,0.602,0.602
lsh_random,True,True,3,20,5,100,2,200,1000,True,0.6304,0.4718,0.4718
lsh_random,True,True,3,20,5,200,2,200,1000,True,0.615,0.4288,0.4288
lsh_random,True,True,3,20,5,500,2,200,1000,True,0.469,0.3006,0.3006
lsh_random,True,True,3,20,5,5,2,500,1000,True,0.893,0.8974,0.8974
lsh_random,True,True,3,20,5,10,2,500,1000,True,0.9084,0.9084,0.9084
lsh_random,True,True,3,20,5,20,2,500,1000,True,0.8898,0.8606,0.8604
lsh_random,True,True,3,20,5,50,2,500,1000,True,0.7954,0.7148,0.7148
lsh_random,True,True,3,20,5,100,2,500,1000,True,0.6304,0.551,0.551
lsh_random,True,True,3,20,5,200,2,500,1000,True,0.615,0.5326,0.5326
lsh_random,True,True,3,20,5,500,2,500,1000,True,0.469,0.3928,0.3928
lsh_random,True,True,3,20,5,5,2,600,1000,True,0.893,0.817,0.817
lsh_random,True,True,3,20,5,10,2,600,1000,True,0.9084,0.866,0.866
lsh_random,True,True,3,20,5,20,2,600,1000,True,0.8898,0.8276,0.8276
lsh_random,True,True,3,20,5,50,2,600,1000,True,0.7954,0.7294,0.7294
lsh_random,True,True,3,20,5,100,2,600,1000,True,0.6304,0.5522,0.5522
lsh_random,True,True,3,20,5,200,2,600,1000,True,0.615,0.547,0.547
lsh_random,True,True,3,20,5,500,2,600,1000,True,0.469,0.3976,0.3976
lsh_random,True,True,3,20,5,5,2,750,1000,True,0.893,0.845,0.845
lsh_random,True,True,3,20,5,10,2,750,1000,True,0.9084,0.8792,0.8792
lsh_random,True,True,3,20,5,20,2,750,1000,True,0.8898,0.873,0.8728
lsh_random,True,True,3,20,5,50,2,750,1000,True,0.7954,0.7184,0.7184
lsh_random,True,True,3,20,5,100,2,750,1000,True,0.6304,0.5822,0.5822
lsh_random,True,True,3,20,5,200,2,750,1000,True,0.615,0.5566,0.5566
lsh_random,True,True,3,20,5,500,2,750,1000,True,0.469,0.4028,0.4028
lsh_random,True,True,3,20,5,5,2,1000,1000,True,0.893,0.8696,0.8696
lsh_random,True,True,3,20,5,10,2,1000,1000,True,0.9084,0.8802,0.8802
lsh_random,True,True,3,20,5,20,2,1000,1000,True,0.8898,0.8682,0.8682
lsh_random,True,True,3,20,5,50,2,1000,1000,True,0.7954,0.7412,0.7412
lsh_random,True,True,3,20,5,100,2,1000,1000,True,0.6304,0.5956,0.5954
lsh_random,True,True,3,20,5,200,2,1000,1000,True,0.615,0.576,0.576
lsh_random,True,True,3,20,5,500,2,1000,1000,True,0.469,0.4244,0.4244
lsh_random,True,True,3,20,5,5,2,1250,1000,True,0.893,0.8436,0.8436
lsh_random,True,True,3,20,5,10,2,1250,1000,True,0.9084,0.878,0.878
lsh_random,True,True,3,20,5,20,2,1250,1000,True,0.8898,0.906,0.906
lsh_random,True,True,3,20,5,50,2,1250,1000,True,0.7954,0.7394,0.7394
lsh_random,True,True,3,20,5,100,2,1250,1000,True,0.6304,0.6134,0.6134
lsh_random,True,True,3,20,5,200,2,1250,1000,True,0.615,0.5924,0.5924
lsh_random,True,True,3,20,5,500,2,1250,1000,True,0.469,0.4326,0.4326
lsh_random,True,True,3,20,5,5,2,1500,1000,True,0.893,0.9226,0.9226
lsh_random,True,True,3,20,5,10,2,1500,1000,True,0.9084,0.8682,0.8682
lsh_random,True,True,3,20,5,20,2,1500,1000,True,0.8898,0.8736,0.8736
lsh_random,True,True,3,20,5,50,2,1500,1000,True,0.7954,0.7622,0.7622
lsh_random,True,True,3,20,5,100,2,1500,1000,True,0.6304,0.6126,0.6126
lsh_random,True,True,3,20,5,200,2,1500,1000,True,0.615,0.585,0.585
lsh_random,True,True,3,20,5,500,2,1500,1000,True,0.469,0.4358,0.4358
lsh_random,True,True,3,20,5,5,2,1750,1000,True,0.893,0.873,0.873
lsh_random,True,True,3,20,5,10,2,1750,1000,True,0.9084,0.864,0.864
lsh_random,True,True,3,20,5,20,2,1750,1000,True,0.8898,0.8742,0.8742
lsh_random,True,True,3,20,5,50,2,1750,1000,True,0.7954,0.7656,0.7656
lsh_random,True,True,3,20,5,100,2,1750,1000,True,0.6304,0.6022,0.6022
lsh_random,True,True,3,20,5,200,2,1750,1000,True,0.615,0.6006,0.6006
lsh_random,True,True,3,20,5,500,2,1750,1000,True,0.469,0.4398,0.4398
lsh_random,True,True,3,20,5,5,2,2000,1000,True,0.893,0.8418,0.8418
lsh_random,True,True,3,20,5,10,2,2000,1000,True,0.9084,0.8588,0.8588
lsh_random,True,True,3,20,5,20,2,2000,1000,True,0.8898,0.8656,0.8656
lsh_random,True,True,3,20,5,50,2,2000,1000,True,0.7954,0.773,0.773
lsh_random,True,True,3,20,5,100,2,2000,1000,True,0.6304,0.6148,0.6148
lsh_random,True,True,3,20,5,200,2,2000,1000,True,0.615,0.6012,0.6012
lsh_random,True,True,3,20,5,500,2,2000,1000,True,0.469,0.4442,0.4442
