method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,4,20,5,5,1,1000,True,0.3682,0.3434,0.343
lsh_one_rest,True,True,4,20,5,5,2,1000,True,0.2814,0.2228,0.2464
lsh_one_rest,True,True,4,20,5,5,5,1000,True,0.4122,0.3982,0.4422
lsh_one_rest,True,True,4,20,5,5,10,1000,True,0.7272,0.6818,0.7328
lsh_one_rest,True,True,4,20,5,10,1,1000,True,0.2322,0.1224,0.185
lsh_one_rest,True,True,4,20,5,10,2,1000,True,0.2908,0.1334,0.2104
lsh_one_rest,True,True,4,20,5,10,5,1000,True,0.3366,0.2308,0.316
lsh_one_rest,True,True,4,20,5,10,10,1000,True,0.4554,0.3526,0.4378
lsh_one_rest,True,True,4,20,5,20,1,1000,True,0.1398,0.0574,0.0856
lsh_one_rest,True,True,4,20,5,20,2,1000,True,0.187,0.0954,0.145
lsh_one_rest,True,True,4,20,5,20,5,1000,True,0.2106,0.134,0.199
lsh_one_rest,True,True,4,20,5,20,10,1000,True,0.2534,0.1836,0.2432
