method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,5,1,100,1000,True,0.4012,0.3614,0.3614
lsh_random,True,True,4,20,5,5,2,100,1000,True,0.4264,0.34,0.34
lsh_random,True,True,4,20,5,5,5,100,1000,True,0.4734,0.3728,0.3728
lsh_random,True,True,4,20,5,5,10,100,1000,True,0.407,0.287,0.287
lsh_random,True,True,4,20,5,10,1,100,1000,True,0.2396,0.1614,0.1614
lsh_random,True,True,4,20,5,10,2,100,1000,True,0.2168,0.1614,0.1614
lsh_random,True,True,4,20,5,10,5,100,1000,True,0.405,0.2358,0.2358
lsh_random,True,True,4,20,5,10,10,100,1000,True,0.3516,0.2516,0.2516
lsh_random,True,True,4,20,5,20,1,100,1000,True,0.1626,0.1014,0.1014
lsh_random,True,True,4,20,5,20,2,100,1000,True,0.1744,0.1078,0.1078
lsh_random,True,True,4,20,5,20,5,100,1000,True,0.206,0.1446,0.1446
lsh_random,True,True,4,20,5,20,10,100,1000,True,0.2824,0.1498,0.1498
lsh_random,True,True,4,20,5,5,1,200,1000,True,0.3482,0.2904,0.2904
lsh_random,True,True,4,20,5,5,2,200,1000,True,0.404,0.3148,0.3148
lsh_random,True,True,4,20,5,5,5,200,1000,True,0.4034,0.3284,0.3284
lsh_random,True,True,4,20,5,5,10,200,1000,True,0.486,0.4358,0.4358
lsh_random,True,True,4,20,5,10,1,200,1000,True,0.2002,0.1844,0.1844
lsh_random,True,True,4,20,5,10,2,200,1000,True,0.2386,0.2202,0.2202
lsh_random,True,True,4,20,5,10,5,200,1000,True,0.3456,0.2462,0.2462
lsh_random,True,True,4,20,5,10,10,200,1000,True,0.3388,0.2854,0.2854
lsh_random,True,True,4,20,5,20,1,200,1000,True,0.1704,0.1216,0.1216
lsh_random,True,True,4,20,5,20,2,200,1000,True,0.1646,0.1194,0.1194
lsh_random,True,True,4,20,5,20,5,200,1000,True,0.217,0.1562,0.1562
lsh_random,True,True,4,20,5,20,10,200,1000,True,0.2244,0.173,0.173
lsh_random,True,True,4,20,5,5,1,500,1000,True,0.519,0.473,0.473
lsh_random,True,True,4,20,5,5,2,500,1000,True,0.4946,0.4438,0.4438
lsh_random,True,True,4,20,5,5,5,500,1000,True,0.4408,0.3946,0.3946
lsh_random,True,True,4,20,5,5,10,500,1000,True,0.5282,0.4396,0.4396
lsh_random,True,True,4,20,5,10,1,500,1000,True,0.2812,0.2662,0.2662
lsh_random,True,True,4,20,5,10,2,500,1000,True,0.257,0.2612,0.2612
lsh_random,True,True,4,20,5,10,5,500,1000,True,0.284,0.2852,0.2852
lsh_random,True,True,4,20,5,10,10,500,1000,True,0.3984,0.3064,0.3064
lsh_random,True,True,4,20,5,20,1,500,1000,True,0.1878,0.1654,0.1654
lsh_random,True,True,4,20,5,20,2,500,1000,True,0.1922,0.1678,0.1678
lsh_random,True,True,4,20,5,20,5,500,1000,True,0.193,0.1674,0.1674
lsh_random,True,True,4,20,5,20,10,500,1000,True,0.2324,0.199,0.199
lsh_random,True,True,4,20,5,5,1,600,1000,True,0.3966,0.4016,0.4016
lsh_random,True,True,4,20,5,5,2,600,1000,True,0.434,0.4348,0.4348
lsh_random,True,True,4,20,5,5,5,600,1000,True,0.6626,0.5576,0.5576
