method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,5,2,100,1000,True,0.4264,0.34,0.34
lsh_random,True,True,4,20,5,10,2,100,1000,True,0.2168,0.1614,0.1614
lsh_random,True,True,4,20,5,20,2,100,1000,True,0.1744,0.1078,0.1078
lsh_random,True,True,4,20,5,5,2,200,1000,True,0.404,0.3148,0.3148
lsh_random,True,True,4,20,5,10,2,200,1000,True,0.2386,0.2202,0.2202
lsh_random,True,True,4,20,5,20,2,200,1000,True,0.1646,0.1194,0.1194
lsh_random,True,True,4,20,5,5,2,500,1000,True,0.4946,0.4438,0.4438
lsh_random,True,True,4,20,5,10,2,500,1000,True,0.257,0.2612,0.2612
lsh_random,True,True,4,20,5,20,2,500,1000,True,0.1922,0.1678,0.1678
lsh_random,True,True,4,20,5,5,2,600,1000,True,0.434,0.4348,0.4348
lsh_random,True,True,4,20,5,10,2,600,1000,True,0.2648,0.255,0.255
lsh_random,True,True,4,20,5,20,2,600,1000,True,0.182,0.1666,0.1666
lsh_random,True,True,4,20,5,5,2,750,1000,True,0.4058,0.3722,0.3722
lsh_random,True,True,4,20,5,10,2,750,1000,True,0.244,0.2384,0.2384
lsh_random,True,True,4,20,5,20,2,750,1000,True,0.2006,0.2026,0.2026
lsh_random,True,True,4,20,5,5,2,1000,1000,True,0.309,0.3264,0.3264
lsh_random,True,True,4,20,5,10,2,1000,1000,True,0.311,0.3212,0.3212
lsh_random,True,True,4,20,5,20,2,1000,1000,True,0.194,0.1824,0.1824
lsh_random,True,True,4,20,5,5,2,1250,1000,True,0.4164,0.4552,0.4552
lsh_random,True,True,4,20,5,10,2,1250,1000,True,0.2238,0.2184,0.2184
lsh_random,True,True,4,20,5,20,2,1250,1000,True,0.1504,0.1348,0.1348
lsh_random,True,True,4,20,5,5,2,1500,1000,True,0.423,0.4124,0.4124
lsh_random,True,True,4,20,5,10,2,1500,1000,True,0.2352,0.2414,0.2414
lsh_random,True,True,4,20,5,20,2,1500,1000,True,0.2018,0.1968,0.1968
lsh_random,True,True,4,20,5,5,2,1750,1000,True,0.4738,0.4292,0.4292
lsh_random,True,True,4,20,5,10,2,1750,1000,True,0.2812,0.28,0.28
lsh_random,True,True,4,20,5,20,2,1750,1000,True,0.185,0.1584,0.1584
lsh_random,True,True,4,20,5,5,2,2000,1000,True,0.504,0.4666,0.4666
lsh_random,True,True,4,20,5,10,2,2000,1000,True,0.2224,0.2236,0.2236
lsh_random,True,True,4,20,5,20,2,2000,1000,True,0.2004,0.1836,0.1836
