method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,5,5,5,1,100,1000,True,0.8008,0.6372,0.6384
lsh_random,True,True,3,5,5,5,2,100,1000,True,0.8474,0.6492,0.6492
lsh_random,True,True,3,5,5,5,5,100,1000,True,0.8328,0.7634,0.7648
lsh_random,True,True,3,5,5,5,10,100,1000,True,0.9372,0.7794,0.7798
lsh_random,True,True,3,5,5,5,1,200,1000,True,0.7404,0.597,0.5978
lsh_random,True,True,3,5,5,5,2,200,1000,True,0.8494,0.7094,0.7108
lsh_random,True,True,3,5,5,5,5,200,1000,True,0.8286,0.7022,0.7036
lsh_random,True,True,3,5,5,5,10,200,1000,True,0.9352,0.8564,0.8572
lsh_random,True,True,3,5,5,5,1,500,1000,True,0.8344,0.7972,0.798
lsh_random,True,True,3,5,5,5,2,500,1000,True,0.8484,0.8158,0.8158
lsh_random,True,True,3,5,5,5,5,500,1000,True,0.906,0.858,0.8582
lsh_random,True,True,3,5,5,5,10,500,1000,True,0.9292,0.9098,0.9112
lsh_random,True,True,3,5,5,5,1,600,1000,True,0.8796,0.851,0.8518
lsh_random,True,True,3,5,5,5,2,600,1000,True,0.811,0.7708,0.7718
lsh_random,True,True,3,5,5,5,5,600,1000,True,0.892,0.8776,0.8782
lsh_random,True,True,3,5,5,5,10,600,1000,True,0.9364,0.9128,0.9136
lsh_random,True,True,3,5,5,5,1,750,1000,True,0.7594,0.8106,0.8124
lsh_random,True,True,3,5,5,5,2,750,1000,True,0.7976,0.7882,0.7894
lsh_random,True,True,3,5,5,5,5,750,1000,True,0.8738,0.8628,0.864
lsh_random,True,True,3,5,5,5,10,750,1000,True,0.9054,0.8754,0.8764
lsh_random,True,True,3,5,5,5,1,1000,1000,True,0.7286,0.733,0.733
lsh_random,True,True,3,5,5,5,2,1000,1000,True,0.8316,0.806,0.8074
lsh_random,True,True,3,5,5,5,5,1000,1000,True,0.9136,0.9018,0.9018
lsh_random,True,True,3,5,5,5,10,1000,1000,True,0.9398,0.9284,0.9286
lsh_random,True,True,3,5,5,5,1,1250,1000,True,0.741,0.73,0.7308
lsh_random,True,True,3,5,5,5,2,1250,1000,True,0.7916,0.8122,0.8132
lsh_random,True,True,3,5,5,5,5,1250,1000,True,0.8848,0.8646,0.866
lsh_random,True,True,3,5,5,5,10,1250,1000,True,0.9218,0.9052,0.907
lsh_random,True,True,3,5,5,5,1,1500,1000,True,0.8104,0.7896,0.791
lsh_random,True,True,3,5,5,5,2,1500,1000,True,0.8592,0.8236,0.8248
lsh_random,True,True,3,5,5,5,5,1500,1000,True,0.9198,0.9046,0.9066
lsh_random,True,True,3,5,5,5,10,1500,1000,True,0.9256,0.9122,0.9136
lsh_random,True,True,3,5,5,5,1,1750,1000,True,0.792,0.732,0.732
lsh_random,True,True,3,5,5,5,2,1750,1000,True,0.7836,0.7622,0.763
lsh_random,True,True,3,5,5,5,5,1750,1000,True,0.8684,0.847,0.848
lsh_random,True,True,3,5,5,5,10,1750,1000,True,0.9328,0.932,0.9334
lsh_random,True,True,3,5,5,5,1,2000,1000,True,0.7576,0.7264,0.7274
lsh_random,True,True,3,5,5,5,2,2000,1000,True,0.8526,0.8326,0.8326
lsh_random,True,True,3,5,5,5,5,2000,1000,True,0.9026,0.8792,0.8808
lsh_random,True,True,3,5,5,5,10,2000,1000,True,0.9082,0.8996,0.9008
