method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,3,20,5,5,1,100,1000,True,0.7754,0.6548,0.6548
lsh_random,True,True,3,20,5,10,1,100,1000,True,0.9346,0.6442,0.6442
lsh_random,True,True,3,20,5,20,1,100,1000,True,0.872,0.4658,0.4658
lsh_random,True,True,3,20,5,50,1,100,1000,True,0.7832,0.3724,0.3724
lsh_random,True,True,3,20,5,100,1,100,1000,True,0.5972,0.1846,0.1846
lsh_random,True,True,3,20,5,200,1,100,1000,True,0.5114,0.1172,0.1172
lsh_random,True,True,3,20,5,500,1,100,1000,True,0.3996,0.0898,0.0898
lsh_random,True,True,3,20,5,5,1,200,1000,True,0.9472,0.7262,0.7262
lsh_random,True,True,3,20,5,10,1,200,1000,True,0.948,0.7178,0.7178
lsh_random,True,True,3,20,5,20,1,200,1000,True,0.7992,0.5814,0.5814
lsh_random,True,True,3,20,5,50,1,200,1000,True,0.6622,0.3694,0.3694
lsh_random,True,True,3,20,5,100,1,200,1000,True,0.6602,0.3558,0.3558
lsh_random,True,True,3,20,5,200,1,200,1000,True,0.5026,0.2316,0.2318
lsh_random,True,True,3,20,5,500,1,200,1000,True,0.4146,0.153,0.153
lsh_random,True,True,3,20,5,5,1,500,1000,True,0.7994,0.8052,0.8052
lsh_random,True,True,3,20,5,10,1,500,1000,True,0.9058,0.7396,0.7396
lsh_random,True,True,3,20,5,20,1,500,1000,True,0.8818,0.7758,0.7758
lsh_random,True,True,3,20,5,50,1,500,1000,True,0.746,0.522,0.522
lsh_random,True,True,3,20,5,100,1,500,1000,True,0.659,0.4512,0.4512
lsh_random,True,True,3,20,5,200,1,500,1000,True,0.5878,0.3764,0.3764
lsh_random,True,True,3,20,5,500,1,500,1000,True,0.428,0.2546,0.2546
lsh_random,True,True,3,20,5,5,1,600,1000,True,0.6588,0.6742,0.6742
lsh_random,True,True,3,20,5,10,1,600,1000,True,0.8476,0.7872,0.7872
lsh_random,True,True,3,20,5,20,1,600,1000,True,0.8338,0.686,0.686
lsh_random,True,True,3,20,5,50,1,600,1000,True,0.7212,0.5568,0.5568
