method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,4,5,5,1,100,1000,True,0.321,0.2922,0.2922
lsh_random,True,True,4,4,5,5,2,100,1000,True,0.3018,0.2832,0.2832
lsh_random,True,True,4,4,5,5,5,100,1000,True,0.3584,0.2884,0.2884
lsh_random,True,True,4,4,5,5,10,100,1000,True,0.376,0.2888,0.2888
lsh_random,True,True,4,4,5,5,1,200,1000,True,0.289,0.2798,0.2798
lsh_random,True,True,4,4,5,5,2,200,1000,True,0.3012,0.239,0.239
lsh_random,True,True,4,4,5,5,5,200,1000,True,0.3646,0.3064,0.3064
lsh_random,True,True,4,4,5,5,10,200,1000,True,0.3808,0.3134,0.3134
lsh_random,True,True,4,4,5,5,1,500,1000,True,0.3332,0.3026,0.3026
lsh_random,True,True,4,4,5,5,2,500,1000,True,0.3056,0.304,0.304
lsh_random,True,True,4,4,5,5,5,500,1000,True,0.3692,0.3388,0.3388
lsh_random,True,True,4,4,5,5,10,500,1000,True,0.3116,0.2798,0.2798
lsh_random,True,True,4,4,5,5,1,600,1000,True,0.385,0.3566,0.3566
lsh_random,True,True,4,4,5,5,2,600,1000,True,0.3336,0.3322,0.3322
lsh_random,True,True,4,4,5,5,5,600,1000,True,0.3418,0.3238,0.3238
lsh_random,True,True,4,4,5,5,10,600,1000,True,0.351,0.3482,0.3482
lsh_random,True,True,4,4,5,5,1,750,1000,True,0.2766,0.2686,0.2686
lsh_random,True,True,4,4,5,5,2,750,1000,True,0.349,0.353,0.353
lsh_random,True,True,4,4,5,5,5,750,1000,True,0.3568,0.3082,0.3082
lsh_random,True,True,4,4,5,5,10,750,1000,True,0.3462,0.3162,0.3162
lsh_random,True,True,4,4,5,5,1,1000,1000,True,0.3608,0.346,0.346
lsh_random,True,True,4,4,5,5,2,1000,1000,True,0.3212,0.311,0.311
lsh_random,True,True,4,4,5,5,5,1000,1000,True,0.3254,0.2904,0.2904
lsh_random,True,True,4,4,5,5,10,1000,1000,True,0.401,0.3834,0.3834
lsh_random,True,True,4,4,5,5,1,1250,1000,True,0.2962,0.2558,0.2558
lsh_random,True,True,4,4,5,5,2,1250,1000,True,0.2984,0.289,0.289
lsh_random,True,True,4,4,5,5,5,1250,1000,True,0.3896,0.3766,0.3766
lsh_random,True,True,4,4,5,5,10,1250,1000,True,0.4056,0.3794,0.3794
lsh_random,True,True,4,4,5,5,1,1500,1000,True,0.285,0.2706,0.2706
lsh_random,True,True,4,4,5,5,2,1500,1000,True,0.2388,0.2356,0.2356
lsh_random,True,True,4,4,5,5,5,1500,1000,True,0.4648,0.4488,0.4488
lsh_random,True,True,4,4,5,5,10,1500,1000,True,0.405,0.3938,0.3938
lsh_random,True,True,4,4,5,5,1,1750,1000,True,0.2272,0.2394,0.2394
lsh_random,True,True,4,4,5,5,2,1750,1000,True,0.352,0.3468,0.3468
lsh_random,True,True,4,4,5,5,5,1750,1000,True,0.339,0.3376,0.3376
lsh_random,True,True,4,4,5,5,10,1750,1000,True,0.3524,0.3266,0.3266
lsh_random,True,True,4,4,5,5,1,2000,1000,True,0.2364,0.2222,0.2222
lsh_random,True,True,4,4,5,5,2,2000,1000,True,0.3292,0.3294,0.3294
lsh_random,True,True,4,4,5,5,5,2000,1000,True,0.372,0.37,0.37
lsh_random,True,True,4,4,5,5,10,2000,1000,True,0.3998,0.3782,0.3782
