method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,4,5,5,10,100,1000,True,0.376,0.2888,0.2888
lsh_random,True,True,4,4,5,5,10,200,1000,True,0.3808,0.3134,0.3134
lsh_random,True,True,4,4,5,5,10,500,1000,True,0.3116,0.2798,0.2798
lsh_random,True,True,4,4,5,5,10,600,1000,True,0.351,0.3482,0.3482
lsh_random,True,True,4,4,5,5,10,750,1000,True,0.3462,0.3162,0.3162
lsh_random,True,True,4,4,5,5,10,1000,1000,True,0.401,0.3834,0.3834
lsh_random,True,True,4,4,5,5,10,1250,1000,True,0.4056,0.3794,0.3794
lsh_random,True,True,4,4,5,5,10,1500,1000,True,0.405,0.3938,0.3938
lsh_random,True,True,4,4,5,5,10,1750,1000,True,0.3524,0.3266,0.3266
lsh_random,True,True,4,4,5,5,10,2000,1000,True,0.3998,0.3782,0.3782
