method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,4,20,5,5,1,1000,True,1.0,0.8126,0.9952
lsh_one_rest,True,True,4,20,5,5,2,1000,True,0.9756,0.7128,0.9364
lsh_one_rest,True,True,4,20,5,5,5,1000,True,0.9638,0.5534,0.8804
lsh_one_rest,True,True,4,20,5,5,10,1000,True,0.8682,0.5386,0.814
lsh_one_rest,True,True,4,20,5,10,1,1000,True,0.8166,0.3296,0.6222
lsh_one_rest,True,True,4,20,5,10,2,1000,True,0.9344,0.3918,0.8116
lsh_one_rest,True,True,4,20,5,10,5,1000,True,0.8148,0.321,0.5688
lsh_one_rest,True,True,4,20,5,10,10,1000,True,0.8012,0.3138,0.661
lsh_one_rest,True,True,4,20,5,20,1,1000,True,0.8094,0.1866,0.4648
lsh_one_rest,True,True,4,20,5,20,2,1000,True,0.8668,0.2014,0.57
lsh_one_rest,True,True,4,20,5,20,5,1000,True,0.848,0.2774,0.6062
lsh_one_rest,True,True,4,20,5,20,10,1000,True,0.8154,0.2746,0.582
lsh_one_rest,True,True,4,20,5,50,1,1000,True,0.7388,0.1028,0.2786
lsh_one_rest,True,True,4,20,5,50,2,1000,True,0.6968,0.0934,0.3182
lsh_one_rest,True,True,4,20,5,50,5,1000,True,0.6826,0.0862,0.2966
lsh_one_rest,True,True,4,20,5,50,10,1000,True,0.8006,0.1106,0.3234
lsh_one_rest,True,True,4,20,5,100,1,1000,True,0.6096,0.0506,0.175
lsh_one_rest,True,True,4,20,5,100,2,1000,True,0.6308,0.0532,0.1712
lsh_one_rest,True,True,4,20,5,100,5,1000,True,0.6706,0.0648,0.227
lsh_one_rest,True,True,4,20,5,100,10,1000,True,0.6112,0.0522,0.1874
lsh_one_rest,True,True,4,20,5,200,1,1000,True,0.5296,0.026,0.0826
lsh_one_rest,True,True,4,20,5,200,2,1000,True,0.5224,0.035,0.0966
lsh_one_rest,True,True,4,20,5,200,5,1000,True,0.5232,0.0248,0.102
lsh_one_rest,True,True,4,20,5,200,10,1000,True,0.5114,0.0232,0.0816
lsh_one_rest,True,True,4,20,5,500,1,1000,True,0.4096,0.0082,0.0354
lsh_one_rest,True,True,4,20,5,500,2,1000,True,0.392,0.0094,0.0366
lsh_one_rest,True,True,4,20,5,500,5,1000,True,0.4112,0.0066,0.0364
lsh_one_rest,True,True,4,20,5,500,10,1000,True,0.4018,0.009,0.0342
