method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,5,1,100,1000,True,0.9798,0.867,0.867
lsh_random,True,True,4,20,5,5,2,100,1000,True,0.9212,0.6854,0.6854
lsh_random,True,True,4,20,5,5,5,100,1000,True,0.9426,0.7962,0.7962
lsh_random,True,True,4,20,5,5,10,100,1000,True,0.9904,0.6198,0.6198
lsh_random,True,True,4,20,5,10,1,100,1000,True,0.784,0.69,0.69
lsh_random,True,True,4,20,5,10,2,100,1000,True,0.9874,0.7418,0.7418
lsh_random,True,True,4,20,5,10,5,100,1000,True,0.8706,0.578,0.578
lsh_random,True,True,4,20,5,10,10,100,1000,True,0.9526,0.6516,0.6516
lsh_random,True,True,4,20,5,20,1,100,1000,True,0.821,0.5216,0.5216
lsh_random,True,True,4,20,5,20,2,100,1000,True,0.8574,0.4136,0.4136
lsh_random,True,True,4,20,5,20,5,100,1000,True,0.8786,0.5224,0.5224
lsh_random,True,True,4,20,5,20,10,100,1000,True,0.8016,0.5492,0.5492
lsh_random,True,True,4,20,5,50,1,100,1000,True,0.6788,0.2872,0.2872
lsh_random,True,True,4,20,5,50,2,100,1000,True,0.7522,0.376,0.376
lsh_random,True,True,4,20,5,50,5,100,1000,True,0.7202,0.3224,0.3224
lsh_random,True,True,4,20,5,50,10,100,1000,True,0.7412,0.3118,0.3118
lsh_random,True,True,4,20,5,100,1,100,1000,True,0.6084,0.226,0.226
lsh_random,True,True,4,20,5,100,2,100,1000,True,0.6574,0.2646,0.2646
lsh_random,True,True,4,20,5,100,5,100,1000,True,0.6646,0.27,0.27
lsh_random,True,True,4,20,5,100,10,100,1000,True,0.6258,0.316,0.316
lsh_random,True,True,4,20,5,200,1,100,1000,True,0.5286,0.173,0.173
lsh_random,True,True,4,20,5,200,2,100,1000,True,0.5516,0.203,0.203
lsh_random,True,True,4,20,5,200,5,100,1000,True,0.5478,0.196,0.196
lsh_random,True,True,4,20,5,200,10,100,1000,True,0.5272,0.183,0.183
lsh_random,True,True,4,20,5,500,1,100,1000,True,0.4,0.1096,0.1096
lsh_random,True,True,4,20,5,500,2,100,1000,True,0.3846,0.1134,0.1134
lsh_random,True,True,4,20,5,500,5,100,1000,True,0.406,0.1244,0.1244
lsh_random,True,True,4,20,5,500,10,100,1000,True,0.3882,0.1132,0.1132
lsh_random,True,True,4,20,5,5,1,200,1000,True,0.9292,0.7082,0.7082
lsh_random,True,True,4,20,5,5,2,200,1000,True,0.9496,0.8856,0.8856
lsh_random,True,True,4,20,5,5,5,200,1000,True,0.958,0.9126,0.9126
