method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,True,True,4,20,5,1000,False,5,1,1000,True,0.599,0.216,0.398
lsh_one_rest,True,True,4,20,5,1000,False,5,2,1000,True,0.353,0.24,0.365
lsh_one_rest,True,True,4,20,5,1000,False,5,5,1000,True,0.442,0.2,0.391
lsh_one_rest,True,True,4,20,5,1000,False,5,10,1000,True,0.44,0.23,0.426
lsh_one_rest,True,True,4,20,5,1000,False,10,1,1000,True,0.324,0.104,0.183
lsh_one_rest,True,True,4,20,5,1000,False,10,2,1000,True,0.314,0.116,0.116
lsh_one_rest,True,True,4,20,5,1000,False,10,5,1000,True,0.189,0.088,0.098
lsh_one_rest,True,True,4,20,5,1000,False,10,10,1000,True,0.414,0.094,0.126
lsh_one_rest,True,True,4,20,5,1000,False,20,1,1000,True,0.188,0.046,0.083
lsh_one_rest,True,True,4,20,5,1000,False,20,2,1000,True,0.222,0.055,0.049
lsh_one_rest,True,True,4,20,5,1000,False,20,5,1000,True,0.261,0.062,0.094
lsh_one_rest,True,True,4,20,5,1000,False,20,10,1000,True,0.246,0.04,0.051
lsh_one_rest,True,True,4,20,5,1000,False,50,1,1000,True,0.136,0.012,0.017
lsh_one_rest,True,True,4,20,5,1000,False,50,2,1000,True,0.212,0.023,0.029
lsh_one_rest,True,True,4,20,5,1000,False,50,5,1000,True,0.115,0.021,0.024
lsh_one_rest,True,True,4,20,5,1000,False,50,10,1000,True,0.135,0.02,0.027
lsh_one_rest,True,True,4,20,5,1000,False,100,1,1000,True,0.064,0.01,0.01
lsh_one_rest,True,True,4,20,5,1000,False,100,2,1000,True,0.081,0.01,0.01
lsh_one_rest,True,True,4,20,5,1000,False,100,5,1000,True,0.09,0.011,0.011
lsh_one_rest,True,True,4,20,5,1000,False,100,10,1000,True,0.074,0.005,0.01
lsh_one_rest,True,True,4,20,5,1000,False,200,1,1000,True,0.056,0.006,0.006
lsh_one_rest,True,True,4,20,5,1000,False,200,2,1000,True,0.075,0.003,0.006
lsh_one_rest,True,True,4,20,5,1000,False,200,5,1000,True,0.059,0.006,0.006
lsh_one_rest,True,True,4,20,5,1000,False,200,10,1000,True,0.089,0.004,0.004
lsh_one_rest,True,True,4,20,5,1000,False,500,1,1000,True,0.038,0.001,0.001
lsh_one_rest,True,True,4,20,5,1000,False,500,2,1000,True,0.037,0.001,0.002
lsh_one_rest,True,True,4,20,5,1000,False,500,5,1000,True,0.038,0.003,0.003
lsh_one_rest,True,True,4,20,5,1000,False,500,10,1000,True,0.028,0.002,0.002
