method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,5,1,200,1000,True,0.546,0.335,0.335
lsh_random,True,True,4,20,5,1000,False,10,1,200,1000,True,0.291,0.273,0.273
lsh_random,True,True,4,20,5,1000,False,20,1,200,1000,True,0.178,0.157,0.157
lsh_random,True,True,4,20,5,1000,False,50,1,200,1000,True,0.117,0.063,0.063
lsh_random,True,True,4,20,5,1000,False,100,1,200,1000,True,0.081,0.037,0.037
lsh_random,True,True,4,20,5,1000,False,200,1,200,1000,True,0.056,0.011,0.011
lsh_random,True,True,4,20,5,1000,False,500,1,200,1000,True,0.031,0.009,0.009
lsh_random,True,True,4,20,5,1000,False,5,2,200,1000,True,0.544,0.43,0.43
lsh_random,True,True,4,20,5,1000,False,10,2,200,1000,True,0.428,0.197,0.173
lsh_random,True,True,4,20,5,1000,False,20,2,200,1000,True,0.238,0.076,0.076
lsh_random,True,True,4,20,5,1000,False,50,2,200,1000,True,0.164,0.067,0.067
lsh_random,True,True,4,20,5,1000,False,100,2,200,1000,True,0.096,0.05,0.05
lsh_random,True,True,4,20,5,1000,False,200,2,200,1000,True,0.067,0.013,0.013
lsh_random,True,True,4,20,5,1000,False,500,2,200,1000,True,0.035,0.009,0.009
lsh_random,True,True,4,20,5,1000,False,5,5,200,1000,True,0.519,0.306,0.306
lsh_random,True,True,4,20,5,1000,False,10,5,200,1000,True,0.257,0.106,0.106
lsh_random,True,True,4,20,5,1000,False,20,5,200,1000,True,0.202,0.114,0.114
lsh_random,True,True,4,20,5,1000,False,50,5,200,1000,True,0.126,0.041,0.041
lsh_random,True,True,4,20,5,1000,False,100,5,200,1000,True,0.109,0.043,0.043
lsh_random,True,True,4,20,5,1000,False,200,5,200,1000,True,0.052,0.02,0.02
lsh_random,True,True,4,20,5,1000,False,500,5,200,1000,True,0.04,0.008,0.008
lsh_random,True,True,4,20,5,1000,False,5,10,200,1000,True,0.455,0.346,0.346
lsh_random,True,True,4,20,5,1000,False,10,10,200,1000,True,0.398,0.267,0.267
lsh_random,True,True,4,20,5,1000,False,20,10,200,1000,True,0.232,0.084,0.084
lsh_random,True,True,4,20,5,1000,False,50,10,200,1000,True,0.134,0.059,0.059
lsh_random,True,True,4,20,5,1000,False,100,10,200,1000,True,0.082,0.033,0.033
lsh_random,True,True,4,20,5,1000,False,200,10,200,1000,True,0.06,0.027,0.027
lsh_random,True,True,4,20,5,1000,False,500,10,200,1000,True,0.035,0.01,0.01
