method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,5,2,100,1000,True,0.288,0.244,0.244
lsh_random,True,True,4,20,5,1000,False,10,2,100,1000,True,0.277,0.118,0.118
lsh_random,True,True,4,20,5,1000,False,20,2,100,1000,True,0.176,0.098,0.098
lsh_random,True,True,4,20,5,1000,False,50,2,100,1000,True,0.136,0.06,0.06
lsh_random,True,True,4,20,5,1000,False,100,2,100,1000,True,0.086,0.041,0.041
lsh_random,True,True,4,20,5,1000,False,200,2,100,1000,True,0.056,0.012,0.012
lsh_random,True,True,4,20,5,1000,False,500,2,100,1000,True,0.036,0.003,0.003
lsh_random,True,True,4,20,5,1000,False,5,2,200,1000,True,0.544,0.43,0.43
lsh_random,True,True,4,20,5,1000,False,10,2,200,1000,True,0.428,0.197,0.173
lsh_random,True,True,4,20,5,1000,False,20,2,200,1000,True,0.238,0.076,0.076
lsh_random,True,True,4,20,5,1000,False,50,2,200,1000,True,0.164,0.067,0.067
lsh_random,True,True,4,20,5,1000,False,100,2,200,1000,True,0.096,0.05,0.05
lsh_random,True,True,4,20,5,1000,False,200,2,200,1000,True,0.067,0.013,0.013
lsh_random,True,True,4,20,5,1000,False,500,2,200,1000,True,0.035,0.009,0.009
lsh_random,True,True,4,20,5,1000,False,5,2,500,1000,True,0.458,0.301,0.301
lsh_random,True,True,4,20,5,1000,False,10,2,500,1000,True,0.419,0.272,0.272
lsh_random,True,True,4,20,5,1000,False,20,2,500,1000,True,0.233,0.125,0.125
lsh_random,True,True,4,20,5,1000,False,50,2,500,1000,True,0.12,0.088,0.088
lsh_random,True,True,4,20,5,1000,False,100,2,500,1000,True,0.081,0.044,0.044
lsh_random,True,True,4,20,5,1000,False,200,2,500,1000,True,0.051,0.042,0.042
lsh_random,True,True,4,20,5,1000,False,500,2,500,1000,True,0.027,0.013,0.013
lsh_random,True,True,4,20,5,1000,False,5,2,750,1000,True,0.393,0.394,0.394
lsh_random,True,True,4,20,5,1000,False,10,2,750,1000,True,0.269,0.286,0.283
lsh_random,True,True,4,20,5,1000,False,20,2,750,1000,True,0.19,0.197,0.197
lsh_random,True,True,4,20,5,1000,False,50,2,750,1000,True,0.131,0.075,0.075
lsh_random,True,True,4,20,5,1000,False,100,2,750,1000,True,0.098,0.07,0.07
lsh_random,True,True,4,20,5,1000,False,200,2,750,1000,True,0.064,0.03,0.03
lsh_random,True,True,4,20,5,1000,False,500,2,750,1000,True,0.035,0.021,0.021
lsh_random,True,True,4,20,5,1000,False,5,2,1000,1000,True,0.415,0.5,0.5
lsh_random,True,True,4,20,5,1000,False,10,2,1000,1000,True,0.231,0.213,0.213
lsh_random,True,True,4,20,5,1000,False,20,2,1000,1000,True,0.205,0.183,0.183
lsh_random,True,True,4,20,5,1000,False,50,2,1000,1000,True,0.131,0.097,0.097
lsh_random,True,True,4,20,5,1000,False,100,2,1000,1000,True,0.063,0.054,0.055
lsh_random,True,True,4,20,5,1000,False,200,2,1000,1000,True,0.05,0.025,0.025
lsh_random,True,True,4,20,5,1000,False,500,2,1000,1000,True,0.031,0.021,0.021
lsh_random,True,True,4,20,5,1000,False,5,2,1250,1000,True,0.393,0.506,0.506
lsh_random,True,True,4,20,5,1000,False,10,2,1250,1000,True,0.357,0.328,0.328
lsh_random,True,True,4,20,5,1000,False,20,2,1250,1000,True,0.17,0.15,0.15
lsh_random,True,True,4,20,5,1000,False,50,2,1250,1000,True,0.155,0.134,0.134
lsh_random,True,True,4,20,5,1000,False,100,2,1250,1000,True,0.09,0.054,0.054
lsh_random,True,True,4,20,5,1000,False,200,2,1250,1000,True,0.06,0.041,0.041
lsh_random,True,True,4,20,5,1000,False,500,2,1250,1000,True,0.036,0.025,0.025
lsh_random,True,True,4,20,5,1000,False,5,2,1500,1000,True,0.595,0.486,0.486
lsh_random,True,True,4,20,5,1000,False,10,2,1500,1000,True,0.289,0.306,0.306
lsh_random,True,True,4,20,5,1000,False,20,2,1500,1000,True,0.164,0.169,0.169
lsh_random,True,True,4,20,5,1000,False,50,2,1500,1000,True,0.135,0.098,0.098
lsh_random,True,True,4,20,5,1000,False,100,2,1500,1000,True,0.093,0.058,0.058
lsh_random,True,True,4,20,5,1000,False,200,2,1500,1000,True,0.052,0.05,0.05
lsh_random,True,True,4,20,5,1000,False,500,2,1500,1000,True,0.031,0.02,0.02
lsh_random,True,True,4,20,5,1000,False,5,2,1750,1000,True,0.545,0.501,0.501
lsh_random,True,True,4,20,5,1000,False,10,2,1750,1000,True,0.47,0.397,0.397
lsh_random,True,True,4,20,5,1000,False,20,2,1750,1000,True,0.325,0.244,0.244
lsh_random,True,True,4,20,5,1000,False,50,2,1750,1000,True,0.146,0.133,0.133
lsh_random,True,True,4,20,5,1000,False,100,2,1750,1000,True,0.096,0.078,0.078
lsh_random,True,True,4,20,5,1000,False,200,2,1750,1000,True,0.056,0.049,0.049
lsh_random,True,True,4,20,5,1000,False,500,2,1750,1000,True,0.028,0.026,0.026
lsh_random,True,True,4,20,5,1000,False,5,2,2000,1000,True,0.546,0.491,0.491
lsh_random,True,True,4,20,5,1000,False,10,2,2000,1000,True,0.365,0.321,0.321
lsh_random,True,True,4,20,5,1000,False,20,2,2000,1000,True,0.245,0.239,0.239
lsh_random,True,True,4,20,5,1000,False,50,2,2000,1000,True,0.125,0.098,0.095
lsh_random,True,True,4,20,5,1000,False,100,2,2000,1000,True,0.091,0.077,0.077
lsh_random,True,True,4,20,5,1000,False,200,2,2000,1000,True,0.059,0.045,0.045
lsh_random,True,True,4,20,5,1000,False,500,2,2000,1000,True,0.032,0.029,0.029
